ProposalName|Contracts|CAM|Dept|ElementTitle|Month|Hours
G10-4665 Block 40 AWC|B40 AWC|HBX|L0811H|AV IPT Block 40 AWC ETC|201205|55.4
G10-4665 Block 40 AWC|B40 AWC|HBX|L0811H|AV IPT Block 40 AWC ETC|201206|56.6
G10-4665 Block 40 AWC|B40 AWC|HBX|L0811H|AV IPT Block 40 AWC ETC|201207|57.7
G10-4665 Block 40 AWC|B40 AWC|HBX|L0811H|AV IPT Block 40 AWC ETC|201208|58.5
G10-4665 Block 40 AWC|B40 AWC|HBX|L0811H|AV IPT Block 40 AWC ETC|201209|59
G10-4665 Block 40 AWC|B40 AWC|HBX|L0811H|AV IPT Block 40 AWC ETC|201210|59.3
G10-4665 Block 40 AWC|B40 AWC|HBX|L0811H|AV IPT Block 40 AWC ETC|201211|59.1
G10-4665 Block 40 AWC|B40 AWC|HBX|L0811H|AV IPT Block 40 AWC ETC|201212|58.4
G10-4665 Block 40 AWC|B40 AWC|HBX|L0811H|AV IPT Block 40 AWC ETC|201301|57.1
G10-4665 Block 40 AWC|B40 AWC|HBX|L0811H|AV IPT Block 40 AWC ETC|201302|54.9
G10-4665 Block 40 AWC|B40 AWC|HBX|L0811H|AV IPT Block 40 AWC ETC|201303|51.4
G10-4665 Block 40 AWC|B40 AWC|HBX|L0811H|AV IPT Block 40 AWC ETC|201304|45.5
G10-4665 Block 40 AWC|B40 AWC|HBX|L0811H|AV IPT Block 40 AWC ETC|201305|32.2
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HJX|L0819H|AV IPT Mission Plan Validation|201112|44
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HJX|L0819H|AV IPT Mission Plan Validation|201201|44
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HJX|L0819H|AV IPT Mission Plan Validation|201202|44
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HJX|L0819H|AV IPT Mission Plan Validation|201203|44
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HJX|L0819H|AV IPT Mission Plan Validation|201204|44
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HJX|L0819H|AV IPT Mission Plan Validation|201205|44
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HJX|L0819H|AV IPT Mission Plan Validation|201206|44
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HJX|L0819H|AV IPT Mission Plan Validation|201207|44
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HJX|L0819H|AV IPT Mission Plan Validation|201208|44
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HBX|L0811H|AV Non Destructive Inspection|201112|50.9
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HBX|L0811H|AV Non Destructive Inspection|201201|50.9
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HBX|L0811H|AV Non Destructive Inspection|201202|50.9
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HBX|L0811H|AV Non Destructive Inspection|201203|50.9
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HBX|L0811H|AV Non Destructive Inspection|201204|50.9
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HBX|L0811H|AV Non Destructive Inspection|201205|50.9
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HBX|L0811H|AV Non Destructive Inspection|201206|50.9
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HBX|L0811H|AV Non Destructive Inspection|201207|50.9
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HBX|L0811H|AV Non Destructive Inspection|201208|50.9
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HBX|L0811H|Mass Properties & DaDT Support to MOB|201112|1.7
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HBX|L0811H|Mass Properties & DaDT Support to MOB|201201|1.7
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HBX|L0811H|Mass Properties & DaDT Support to MOB|201202|1.7
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HBX|L0811H|Mass Properties & DaDT Support to MOB|201203|1.7
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HBX|L0811H|Mass Properties & DaDT Support to MOB|201204|1.7
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HBX|L0811H|Mass Properties & DaDT Support to MOB|201205|1.7
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HBX|L0811H|Mass Properties & DaDT Support to MOB|201206|1.7
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HBX|L0811H|Mass Properties & DaDT Support to MOB|201207|1.7
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HBX|L0811H|Mass Properties & DaDT Support to MOB|201208|1.7
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HEX|L0814H|Equip. Inst. Design Sup. to MOB|201112|3.5
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HEX|L0814H|Equip. Inst. Design Sup. to MOB|201201|3.5
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HEX|L0814H|Equip. Inst. Design Sup. to MOB|201202|3.5
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HEX|L0814H|Equip. Inst. Design Sup. to MOB|201203|3.5
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HEX|L0814H|Equip. Inst. Design Sup. to MOB|201204|3.5
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HEX|L0814H|Equip. Inst. Design Sup. to MOB|201205|3.5
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HEX|L0814H|Equip. Inst. Design Sup. to MOB|201206|3.5
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HEX|L0814H|Equip. Inst. Design Sup. to MOB|201207|3.5
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HEX|L0814H|Equip. Inst. Design Sup. to MOB|201208|3.5
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HEX|L0815H|Mech. Subsys. Design Sup. to MOB|201112|0.4
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HEX|L0815H|Mech. Subsys. Design Sup. to MOB|201201|0.4
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HEX|L0815H|Mech. Subsys. Design Sup. to MOB|201202|0.4
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HEX|L0815H|Mech. Subsys. Design Sup. to MOB|201203|0.4
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HEX|L0815H|Mech. Subsys. Design Sup. to MOB|201204|0.4
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HEX|L0815H|Mech. Subsys. Design Sup. to MOB|201205|0.4
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HEX|L0815H|Mech. Subsys. Design Sup. to MOB|201206|0.4
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HEX|L0815H|Mech. Subsys. Design Sup. to MOB|201207|0.4
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HEX|L0815H|Mech. Subsys. Design Sup. to MOB|201208|0.4
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HEX|L0818H|Avionics & Elec. Support to MOB|201112|9.4
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HEX|L0818H|Avionics & Elec. Support to MOB|201201|9.4
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HEX|L0818H|Avionics & Elec. Support to MOB|201202|9.4
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HEX|L0818H|Avionics & Elec. Support to MOB|201203|9.4
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HEX|L0818H|Avionics & Elec. Support to MOB|201204|9.4
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HEX|L0818H|Avionics & Elec. Support to MOB|201205|9.4
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HEX|L0818H|Avionics & Elec. Support to MOB|201206|9.4
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HEX|L0818H|Avionics & Elec. Support to MOB|201207|9.4
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HEX|L0818H|Avionics & Elec. Support to MOB|201208|9.4
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HJX|L0819H|Engine Analysis and GNC Support to MOB|201112|0.8
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HJX|L0819H|Engine Analysis and GNC Support to MOB|201201|0.8
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HJX|L0819H|Engine Analysis and GNC Support to MOB|201202|0.8
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HJX|L0819H|Engine Analysis and GNC Support to MOB|201203|0.8
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HJX|L0819H|Engine Analysis and GNC Support to MOB|201204|0.8
GHMD O&M Follow-on Contract Option Year 1|GHMD O&M|HJX|L0819H|Engine Analysis and GNC Support to MOB|201205|0.8
