//CFIN Home DCN,Dept Cost Descr,Site Descr,SCE,SCE Desc,Directorate
L042DG,RB Proj Eng 772110,"San Diego, CA",712725,Engineering Support,Spec Eng & Prog Int
ST44EE,Macro-electr M&P,"Manhattan Beach, CA",712810,Electronics Engineering,Spec Eng & Prog Int
ST57EE,SensorAnalys&Aligns,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
ST72FB,Sr. Staff Section,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
L071GB,LRS Eng Mgt & Av Lab,"Tinker AFB, OK",712830,Offsite Engineering,Elec & Payloads
L059ED,Survivability Ops,"El Segundo, CA",712710,Systems Engineering,Sys Eng Directorate
ST83CD,RF Test Sets,"Manhattan Beach, CA",712715,Software Engineering,Software Directorate
SICW29,NGAII - UAE,"Edwards AFB, CA",Int'l,Int'l,"Sys Integ, Test & Eval"
L083BF,GH Ground 1,"San Diego, CA",712715,Software Engineering,Software Directorate
D044DG,BM&ES Mtls & Proc Eng,"Melbourne, FL",712725,Engineering Support,Spec Eng & Prog Int
ST56DG,O&M NSD,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
D092HD,BMES Test Eng S20 (MB),"Melbourne, FL",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
D067NH,MB & SAMC Struct Analys E84,"Melbourne, FL",712705,Design Engineering,Vehicle Engineering
L082DD,Advanced Programs 3,"San Diego, CA",712715,Software Engineering,Software Directorate
L071GC,LRS Av Sys Arch,"Palmdale, CA",712705,Design Engineering,Elec & Payloads
L042DJ,F-35 Proj Eng 772110,"Palmdale, CA",712725,Engineering Support,Spec Eng & Prog Int
D081CG,Joint STARS TSSR,"Melbourne, FL",712715,Software Engineering,Software Directorate
L094HA,Ground Ops 772210,"Palmdale, CA",712830,Offsite Engineering,"Sys Integ, Test & Eval"
ST45CF,Space Syst Reliablity,"Redondo Beach, CA",712725,Engineering Support,Spec Eng & Prog Int
L065HF,Unman'd Combat AC VMS E30,"San Diego, CA",712705,Design Engineering,Vehicle Engineering
Q064CD,"BP C&E,E&L,Conf,Zone,EngE84OS","Panama City, FL",712820,Field Engineering,Vehicle Engineering
L082CG,B2 Airborne C2 SW 772110,"Tinker AFB, OK",712830,Offsite Engineering,Software Directorate
ST70AA,Elec & Payloads,"Manhattan Beach, CA",712705,Design Engineering,Elec & Payloads
ST71OD,Manufacturing,"Manhattan Beach, CA",712705,Design Engineering,Elec & Payloads
Q081DK,IO/EA Mission Plan BP,"Hollywood, MD",712715,Software Engineering,Software Directorate
Q081DK,IO/EA Mission Plan BP,"Huntsville, AL",712715,Software Engineering,Software Directorate
D081CI,JSTARS OWS Modnztion,"Melbourne, FL",712715,Software Engineering,Software Directorate
ST92ED,SSD Ops S12 (SP),"Redondo Beach, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
ST72FH,RF Packaging - Micro,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
ST72EN,EPS & Power Dist,"Redondo Beach, CA",712810,Electronics Engineering,Elec & Payloads
ST57EA,Vehl Analys Operab'y,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
ST54CA,ME & Ops Analysis,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
ST72FE,Electromech Des Arch,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
ST68DD,Composites Fabrication,"Redondo Beach, CA",712730,Engineering Technicians,Vehicle Engineering
L071CD,Comm & Links - PMDL,"Tinker AFB, OK",712705,Design Engineering,Elec & Payloads
L094CI,Flt Test Eng FS/GH/APT,"San Diego, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
D081CH,Sensor Applications,"Melbourne, FL",712715,Software Engineering,Software Directorate
D042DL,Prog Design Sppt(Eng),"Melbourne, FL",712725,Engineering Support,Spec Eng & Prog Int
L059CD,Experimental EM,"El Segundo, CA",712710,Systems Engineering,Sys Eng Directorate
L094HG,Grnd Ops UCAS  772640,"Palmdale, CA",712830,Offsite Engineering,"Sys Integ, Test & Eval"
L092EI,SSSD Ops S17 (ES),"El Segundo, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
ST64FJ,Photo Voltaics Sp,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
ST45CH,Space Syst Rad & Labs BP97,"Redondo Beach, CA",NSCE,Radiation Test Service Ctr,Spec Eng & Prog Int
ST58EE,Mission 1 Devel #1,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
L081BD,GH Vehicle 1,"San Diego, CA",712715,Software Engineering,Software Directorate
ST15BA,SSD Staff,"Redondo Beach, CA",712725,Engineering Support,AE Leadership
L094FB,Flt Ops - B-2 & UCAS,"Patuxent River, MD",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L067KE,F35 Skns & Pnls Struct Analys,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
D081CA,ISR & BMC2 Software,"Melbourne, FL",712715,Software Engineering,Software Directorate
D042BA,Eng/Mgrs/IPT/Staff,"Melbourne, FL",712725,Engineering Support,Spec Eng & Prog Int
Q083BE,BAMS Gd IM/ISR/Inter,"Charleston, SC",712820,Field Engineering,Software Directorate
L045DF,Systems Saftey RB,"San Diego, CA",712725,Engineering Support,Spec Eng & Prog Int
ST73DA,Semicond Processes,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
ST55CA,SysArchPerf & Algors,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
L067KL,F/A-18 Service Life Ext E30,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
ST65JI,Fluid Mechs & Exp E354,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
ST72BB,RF Design & Analysis,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
L042EG,HALE Ops&UMS CDM 772110,"San Diego, CA",712725,Engineering Support,Spec Eng & Prog Int
L067HB,RB Spcl Pgms Struct Dsgn E30,"San Diego, CA",712705,Design Engineering,Vehicle Engineering
L067KM,El Seg Post Prod Lia/Tech Svc,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
ST54CF,Adv Programs ME,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
ST92EE,SSD Ops S13 (SP),"Manhattan Beach, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L044DE,F/A-18 Mtls & Proc Eng,"El Segundo, CA",712725,Engineering Support,Spec Eng & Prog Int
L067KA,SASS Staff/IPT Leads E30,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
ST93IB,Test Ops/Conductors,"Redondo Beach, CA",712730,Engineering Technicians,"Sys Integ, Test & Eval"
ST71MB,Laser Engineering,"Redondo Beach, CA",712705,Design Engineering,Elec & Payloads
L094HD,Grnd Ops GH 2nd Shift,"Edwards AFB, CA",712830,Offsite Engineering,"Sys Integ, Test & Eval"
ST57ED,Laser/Sensor SE & Accomodation,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
L064GH,Rancho Mech Sys Air  772110,"San Diego, CA",712705,Design Engineering,Vehicle Engineering
L091AC,Test Programs Mgmt 772210,"Huntsville, AL",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
ST92DE,SSD Test Eng S3 (SP),"Redondo Beach, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
Q094FM,Adv Hawkeye Flt Test  BP,"Bethpage, NY",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
ST71AA,Subsys & Payload,"Manhattan Beach, CA",712705,Design Engineering,Elec & Payloads
ST55CI,SysArcPrfAlgo-RBch2,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
ST72CI,RF Units,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
ST73DE,Front & Backside Fab,"Manhattan Beach, CA",712815,Electronics Technicians,Elec & Payloads
ST64FH,Elect Pwr Sys Space E354,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
Q092HG,BMES Ops S23 (BP),"Bethpage, NY",712730,Engineering Technicians,"Sys Integ, Test & Eval"
L062AA,Staff/IPT Leads,"San Diego, CA",712705,Design Engineering,Vehicle Engineering
L055CD,SysArchPerfAlgo-SD1,"San Diego, CA",712710,Systems Engineering,Sys Eng Directorate
D081CK,Tools  Supt and M&TS,"Melbourne, FL",712715,Software Engineering,Software Directorate
L067KI,Air SubSys/Mechsm Struct Anlys,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
Q067HH,BP Spcl Pgms Struct Dsgn E84,"Bethpage, NY",712705,Design Engineering,Vehicle Engineering
D092EA,Sys Intgr & Lab Ops,"Melbourne, FL",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L081BC,BAMS Vehicle 2,"San Diego, CA",712715,Software Engineering,Software Directorate
ST72FC,RF Packaging - Macro,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
ST44EF,Composites Eng,"Redondo Beach, CA",712725,Engineering Support,Spec Eng & Prog Int
L082DG,HART,"Redondo Beach, CA",712715,Software Engineering,Software Directorate
ST58EG,Mission 1 Design #2,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
ST72HJ,Assy FLM R6-Restr,"Manhattan Beach, CA",712815,Electronics Technicians,Elec & Payloads
ST65FA,GNC ACS Staff/IPT Leads E354,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
ST72CB,Program Execution,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
D092HE,BMES Ops S21 (MB),"Melbourne, FL",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
R094FK,E-2C/D & F-5 Flt Test,"Saint Augustine, FL",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
R067HJ,SAMC Prod Support E75,"Saint Augustine, FL",712705,Design Engineering,Vehicle Engineering
Q081CC,BAMS Payload Devlmnt,"Bethpage, NY",712715,Software Engineering,Software Directorate
D094CK,Joint STARS Flt Test,"Melbourne, FL",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L082DE,Advanced Programs 4,"San Diego, CA",712715,Software Engineering,Software Directorate
Q064CC,BP C&E E&L Conf Zone Eng E84,"Bethpage, NY",712705,Design Engineering,Vehicle Engineering
L059CC,Computational EM,"El Segundo, CA",712710,Systems Engineering,Sys Eng Directorate
L094FH,Adv FltTst&Remote Sites 772210,"Patuxent River, MD",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
ST67DL,"Sp Struct Dsgn, Sct 2 E354","Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
L071CC,Comm & Links - ES,"El Segundo, CA",712705,Design Engineering,Elec & Payloads
ST57AA,Vehicle Systems Eng,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
D093HI,Test Design - MB 0,"Melbourne, FL",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L064GD,PD & ES Mech Sys Air 772110,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
ST72BE,Mechanical Design II,"Redondo Beach, CA",712810,Electronics Engineering,Elec & Payloads
ST72EJ,Adv Custom IC Design,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
ST44ED,Micro-electr M&P,"Manhattan Beach, CA",712810,Electronics Engineering,Spec Eng & Prog Int
R067HI,SAMC Struct Design E75,"Saint Augustine, FL",712705,Design Engineering,Vehicle Engineering
ST72EK,IC Layout & Verif,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
D092HC,BMES Test Eng S19 (MB),"Melbourne, FL",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
ST58AA,Comm & Data Systems,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
ST44FC,Chemistry Lab,"Redondo Beach, CA",712725,Engineering Support,Spec Eng & Prog Int
ST58FC,MilSatCom 1,"El Segundo, CA",712710,Systems Engineering,Sys Eng Directorate
L065HD,ISR VMS E30,"San Diego, CA",712705,Design Engineering,Vehicle Engineering
ST50AF,Sys Eng Directorate (e354),"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
L094FB,Flt Ops - B-2 & UCAS,"Edwards AFB, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L083DD,UCAS ES 1,"El Segundo, CA",712715,Software Engineering,Software Directorate
ST56CP,LnchSysIntDsgnAnalys,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
L042GC,CDM F-35,"El Segundo, CA",712725,Engineering Support,Spec Eng & Prog Int
ST93IF,Engineering - Field Ops BP03,"Redondo Beach, CA",712820,Field Engineering,"Sys Integ, Test & Eval"
ST71NH,Modem Products,"Manhattan Beach, CA",712705,Design Engineering,Elec & Payloads
L045CB,EME & Vuln & Labs SB,"El Segundo, CA",712725,Engineering Support,Spec Eng & Prog Int
L045DA,Safety Analysis,"El Segundo, CA",712725,Engineering Support,Spec Eng & Prog Int
ST56CA,System Integration,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
ST72CK,Passive RF,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
L067DP,"F/A-18, T-38 Strct'l Dsn E30","El Segundo, CA",712705,Design Engineering,Vehicle Engineering
ST72EM,Power Converters,"Redondo Beach, CA",712810,Electronics Engineering,Elec & Payloads
ST71LC,Sensor Development,"Redondo Beach, CA",712705,Design Engineering,Elec & Payloads
L083BG,GH Ground 2,"San Diego, CA",712715,Software Engineering,Software Directorate
D056CH,Sys Integr-Melbourne,"Melbourne, FL",712710,Systems Engineering,Sys Eng Directorate
Q094FN,Adv Hawkeye Flt Test  OS,"Saint Augustine, FL",712820,Field Engineering,"Sys Integ, Test & Eval"
L094HJ,Grnd Ops F-35 & Misc  772210,"San Diego, CA",712730,Engineering Technicians,"Sys Integ, Test & Eval"
L067DI,Palmdale F-35 Struct Dsgn E30,"Palmdale, CA",712705,Design Engineering,Vehicle Engineering
Q093HJ,Test Design - BP,"Bethpage, NY",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
ST72HC,ABAL,"Manhattan Beach, CA",712815,Electronics Technicians,Elec & Payloads
L059EC,Surviv Prog IPTs,"El Segundo, CA",712710,Systems Engineering,Sys Eng Directorate
ST50AF,Sys Eng Directorate (e354),"Manhattan Beach, CA",712710,Systems Engineering,Sys Eng Directorate
L044DD,B-2 Mtls & Proc Eng,"Palmdale, CA",712725,Engineering Support,Spec Eng & Prog Int
D042FI,AP&T/IR(SAMC)CM,"Melbourne, FL",712725,Engineering Support,Spec Eng & Prog Int
L083DF,Vertical UAS,"San Diego, CA",712715,Software Engineering,Software Directorate
ST55DH,SysReqVerif-RdBch/ES,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
L064GD,PD & ES Mech Sys Air 772110,"Palmdale, CA",712705,Design Engineering,Vehicle Engineering
ST72HK,Test FLM R6 - Restr,"Manhattan Beach, CA",712815,Electronics Technicians,Elec & Payloads
ST72BD,Mechanical Design I,"El Segundo, CA",712810,Electronics Engineering,Elec & Payloads
L013CC,SSSD CE #2 772110,"San Diego, CA",712725,Engineering Support,AE Leadership
ST64CJ,Mech Des Integ - SpA (MDI),"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
L094FE,Flt Ops ATDC   772210,"Unknown City, NV",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
ST93IE,Engineering,"Redondo Beach, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L071CG,Comm & Links - RB4,"San Diego, CA",712705,Design Engineering,Elec & Payloads
ST90AA,"Sys Integ, Test & Eval","Redondo Beach, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L071CF,Comm & Links - RB2,"San Diego, CA",712705,Design Engineering,Elec & Payloads
Q081DI,Airborne EW Sys Mgmt PRB,"Camarillo, CA",712820,Field Engineering,Software Directorate
L093HD,Mechanical Test Design- ES,"El Segundo, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
ST71LD,Sens Modeling & Ays,"Redondo Beach, CA",712705,Design Engineering,Elec & Payloads
ST58FI,Mil&Civil Sys-SoBay,"El Segundo, CA",712710,Systems Engineering,Sys Eng Directorate
ST72CA,RF Products,"Redondo Beach, CA",712810,Electronics Engineering,Elec & Payloads
L093HH,Test Design- AV,"Edwards AFB, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
D067HE,Melbourne Struct Design E84,"Melbourne, FL",712705,Design Engineering,Vehicle Engineering
ST92DC,SSD TE Leadership S1 (SP),"Redondo Beach, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L071GA,Mission Mgmt-30 772110,"El Segundo, CA",712705,Design Engineering,Elec & Payloads
L064CM,"PD C&E,E&L,Conf Zne,Eng772110","Palmdale, CA",712705,Design Engineering,Vehicle Engineering
L082CB,F-35 SW Rqmt & Test,"El Segundo, CA",712715,Software Engineering,Software Directorate
L065HA,VMS Staff/IPT Leads E30,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
ST65JC,PF Staff/IPT Leads E354,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
L044AB,"Prts, Mat & Proc & Chem","Redondo Beach, CA",712725,Engineering Support,Spec Eng & Prog Int
L071OH,Ground Sys Avionics,"San Diego, CA",712705,Design Engineering,Elec & Payloads
Q045DG,Syst Saf & EME Beth,"Bethpage, NY",712725,Engineering Support,Spec Eng & Prog Int
Q055DD,Sys Req Verif-Beth2,"Bethpage, NY",712710,Systems Engineering,Sys Eng Directorate
L064CQ,"Rancho C&E,E&L,Conf,Zone,Eng","San Diego, CA",712705,Design Engineering,Vehicle Engineering
L064CK,"ES Config Des,Crew,Zone E30","Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
D071EF,Radar & EW - MLB,"Melbourne, FL",712705,Design Engineering,Elec & Payloads
ST72DC,Digital Arch&Subsys,"Manhattan Beach, CA",712705,Design Engineering,Elec & Payloads
D064CG,"Melbourne C&E,E&L E84-MO","Melbourne, FL",712705,Design Engineering,Vehicle Engineering
ST56DF,L&A CS/MS (BP03) BP03,"Seabrook, MD",712820,Field Engineering,Sys Eng Directorate
ST54AA,"Analysis, Mod & Sim (e354)","Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
L081BB,BAMS Vehicle 1,"San Diego, CA",712715,Software Engineering,Software Directorate
L067KJ,F/A-18 Prod Def  & Supt E30,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
L057DH,Mass Properties-1,"El Segundo, CA",712710,Systems Engineering,Sys Eng Directorate
Q020BA,Staff,"Bethpage, NY",712725,Engineering Support,Aerospace Eng Tech Ops
ST67KK,Space Struct Analys Sct 2 E354,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
L067DD,ElSeg F-35 Struct Dsgn 772110,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
Q081DF,AEW Visualization 0,"Bethpage, NY",712715,Software Engineering,Software Directorate
L013CA,SSSD CE 772110,"San Diego, CA",712725,Engineering Support,AE Leadership
L064FG,Palmdale CHE & EPS-- Air  E30,"Palmdale, CA",712705,Design Engineering,Vehicle Engineering
Q014CA,BMES Chief Engs,"Bethpage, NY",712725,Engineering Support,AE Leadership
L064CI,"Palmdale C&E,E&L E30","Palmdale, CA",712705,Design Engineering,Vehicle Engineering
L059DE,Technology Integr,"Palmdale, CA",712710,Systems Engineering,Sys Eng Directorate
L082DB,Advanced Programs 1,"Palmdale, CA",712715,Software Engineering,Software Directorate
L059DE,Technology Integr,"El Segundo, CA",712710,Systems Engineering,Sys Eng Directorate
L071LI,Payload Sensors,"San Diego, CA",712705,Design Engineering,Elec & Payloads
L065LE,Air-Breathing Prop,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
