PROJECT,WBS ID,DESCRIPTION,ALIAS,E,XREF-7,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E
GHBOA05,151-01HHX1,HALE AIR VEHICLE PRODUCTION - ENG,,W,,LY301HHX1,HHX,0816H,201101,4.86,0.00,4.86,4.86,268.93,268.93,0.00,766.33,766.33,0.00,710.97,1,,L
GHBOA05,151-01HHX1,HALE AIR VEHICLE PRODUCTION - ENG,,W,,LY301HHX1,HHX,0816H,201102,3.89,0.00,3.89,3.89,215.15,215.15,0.00,613.06,613.06,0.00,568.78,1,,L
GHBOA05,151-01HHX1,HALE AIR VEHICLE PRODUCTION - ENG,,W,,LY301HHX1,HHX,0816H,201103,3.89,0.00,3.89,0.00,215.15,215.15,0.00,613.06,613.06,0.00,-0.23,1,,L
GHBOA05,151-01HHX1,HALE AIR VEHICLE PRODUCTION - ENG,,W,,LY301HHX1,HHX,0816H,201104,4.86,23.20,4.86,0.00,268.93,268.93,883.65,766.33,766.33,2340.76,0.07,1,,L
GHBOA05,151-01HHX1,HALE AIR VEHICLE PRODUCTION - ENG,,W,,LY301HHX1,HHX,0816H,201105,3.69,-7.00,3.69,0.00,204.39,204.39,-254.31,582.41,582.41,-673.66,0.58,1,,L
GHBOA05,151-01HHX1,HALE AIR VEHICLE PRODUCTION - ENG,,W,,LY301HHX1,HHX,0816H,201106,3.69,0.00,3.69,0.00,204.39,204.39,0.00,582.41,582.41,0.00,0.58,1,,L
GHBOA05,151-01HHX1,HALE AIR VEHICLE PRODUCTION - ENG,,W,,LY301HHX1,HHX,0816H,201107,4.67,0.00,4.67,0.00,258.18,258.18,0.00,735.68,735.68,0.00,-0.57,1,,L
GHBOA05,151-01HHX1,HALE AIR VEHICLE PRODUCTION - ENG,,W,,LY301HHX1,HHX,0816H,201108,3.89,0.00,3.89,0.00,215.15,215.15,0.00,613.06,613.06,0.00,-0.23,1,,L
GHBOA05,151-01HHX1,HALE AIR VEHICLE PRODUCTION - ENG,,W,,LY301HHX1,HHX,0816H,201109,3.89,0.00,3.89,0.00,215.15,215.15,0.00,613.06,613.06,0.00,-0.23,1,,L
GHBOA05,151-01HHX1,HALE AIR VEHICLE PRODUCTION - ENG,,W,,LY301HHX1,HHX,0816H,201110,4.86,0.00,4.86,0.00,268.93,268.93,0.00,766.33,766.33,0.00,0.07,1,,L
GHBOA05,151-01HHX1,HALE AIR VEHICLE PRODUCTION - ENG,,W,,LY301HHX1,HHX,0816H,201111,3.50,0.00,3.50,0.00,193.63,193.63,0.00,551.76,551.76,0.00,-0.06,1,,L
GHBOA05,151-01HHX1,HALE AIR VEHICLE PRODUCTION - ENG,,W,,LY301HHX1,HHX,0816H,201112,2.92,0.00,2.92,10.00,161.36,161.36,0.00,459.80,459.80,0.00,1406.61,1,,L
GHBOA05,151-01HHX1,HALE AIR VEHICLE PRODUCTION - ENG,,W,,LY301HHX1,HHX,0816H,201201,4.67,1.00,4.67,0.00,267.55,267.55,30.89,753.88,753.88,115.03,-0.61,1,,L
GHBOA05,151-01HHX1,HALE AIR VEHICLE PRODUCTION - ENG,,W,,LY301HHX1,HHX,0816H,201202,3.89,0.00,0.00,0.00,222.96,0.00,0.00,628.24,0.00,0.00,-0.25,1,,L
GHBOA05,151-01HHX1,HALE AIR VEHICLE PRODUCTION - ENG,,W,,LY301HHX1,HHX,0816H,201203,3.89,0.00,0.00,20.00,222.96,0.00,0.00,628.24,0.00,0.00,3231.09,1,,L
GHBOA05,151-01HHX1,HALE AIR VEHICLE PRODUCTION - ENG,,W,,LY301HHX1,HHX,0816H,201204,4.86,0.00,0.00,20.00,278.70,0.00,0.00,785.30,0.00,0.00,3231.41,1,,L
GHBOA05,151-01HHX1,HALE AIR VEHICLE PRODUCTION - ENG,,W,,LY301HHX1,HHX,0816H,201205,3.69,0.00,0.00,20.00,211.58,0.00,0.00,596.18,0.00,0.00,3231.95,1,,L
GHBOA05,151-01HHX1,HALE AIR VEHICLE PRODUCTION - ENG,,W,,LY301HHX1,HHX,0816H,201206,3.89,0.00,0.00,8.64,222.96,0.00,0.00,628.24,0.00,0.00,1395.69,1,,L
GHBOA05,151-01HHX1,HALE AIR VEHICLE PRODUCTION - ENG,,W,,LY301HHX1,HHX,0816H,201207,4.67,0.00,0.00,4.67,267.55,0.00,0.00,753.88,0.00,0.00,753.91,1,,L
GHBOA05,151-01HHX1,HALE AIR VEHICLE PRODUCTION - ENG,,W,,LY301HHX1,HHX,0816H,201208,3.89,0.00,0.00,3.89,222.96,0.00,0.00,628.24,0.00,0.00,628.25,1,,L
GHBOA05,151-01HHX1,HALE AIR VEHICLE PRODUCTION - ENG,,W,,LY301HHX1,HHX,0816H,201209,3.69,0.00,0.00,3.69,211.81,0.00,0.00,596.83,0.00,0.00,596.80,1,,L
GHBOA05,151-01HHX1,HALE AIR VEHICLE PRODUCTION - ENG,,W,,LY301HHX1,HHX,0816H,201210,4.86,0.00,0.00,4.86,278.70,0.00,0.00,785.30,0.00,0.00,785.29,1,,L
GHBOA05,151-01HHX1,HALE AIR VEHICLE PRODUCTION - ENG,,W,,LY301HHX1,HHX,0816H,201211,3.50,0.00,0.00,3.50,200.67,0.00,0.00,565.41,0.00,0.00,565.42,1,,L
GHBOA05,151-01HHX1,HALE AIR VEHICLE PRODUCTION - ENG,,W,,LY301HHX1,HHX,0816H,201212,2.92,0.00,0.00,2.92,167.22,0.00,0.00,471.18,0.00,0.00,471.20,1,,L
GHBOA05,151-01HHX1,HALE AIR VEHICLE PRODUCTION - ENG,,W,,LY301HHX1,HHX,0816H,201301,4.47,0.00,0.00,4.47,266.29,0.00,0.00,768.35,0.00,0.00,768.34,1,,L
