PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,COMPANY,E
GSREARC,111-26HJX1,Phase 1A ERGONOMICS,PH1A,W,HJX,LGS26HJX1,HJX,0819H,201101,15.84,13.00,15.84,0.00,841.56,841.56,795.58,2229.27,2229.27,2102.40,0.00,126,,L
GSREARC,111-26HJX1,Phase 1A ERGONOMICS,PH1A,W,HJX,LGS26HJX1,HJX,0819H,201102,12.67,25.00,12.67,12.67,673.25,673.25,1735.69,1783.42,1783.42,4586.73,1853.30,126,,L
GSREARC,111-26HJX1,Phase 1A ERGONOMICS,PH1A,W,HJX,LGS26HJX1,HJX,0819H,201103,12.67,18.00,12.67,18.00,673.25,673.25,1304.06,1783.42,1783.42,3446.10,2632.95,126,,L
GSREARC,111-26HJX1,Phase 1A ERGONOMICS,PH1A,W,HJX,LGS26HJX1,HJX,0819H,201104,15.84,8.00,15.84,15.84,841.56,841.56,575.04,2229.27,2229.27,1519.60,2296.37,126,,L
GSREARC,111-26HJX1,Phase 1A ERGONOMICS,PH1A,W,HJX,LGS26HJX1,HJX,0819H,201105,12.04,4.50,12.04,4.50,639.59,639.59,323.46,1694.25,1694.25,854.77,652.38,126,,L
GSREARC,111-26HJX1,Phase 1A ERGONOMICS,PH1A,W,HJX,LGS26HJX1,HJX,0819H,201106,12.04,59.50,12.04,59.50,639.59,639.59,3850.25,1694.25,1694.25,10174.65,8476.43,126,,L
GSREARC,111-26HJX1,Phase 1A ERGONOMICS,PH1A,W,HJX,LGS26HJX1,HJX,0819H,201107,11.51,11.50,11.51,11.50,611.36,611.36,826.62,1619.46,1619.46,2184.42,1638.30,126,,L
GSREARC,111-26HJX1,Phase 1A ERGONOMICS,PH1A,W,HJX,LGS26HJX1,HJX,0819H,201108,3.00,16.00,3.00,16.00,159.58,159.58,1071.12,422.72,422.72,2830.54,2279.19,126,,L
GSREARC,111-26HJX1,Phase 1A ERGONOMICS,PH1A,W,HJX,LGS26HJX1,HJX,0819H,201109,2.67,13.30,2.67,13.30,142.05,142.05,855.99,376.29,376.29,2262.03,1894.58,126,,L
GSREARC,111-26HJX1,Phase 1A ERGONOMICS,PH1A,W,HJX,LGS26HJX1,HJX,0819H,201110,2.82,2.00,2.82,4.00,149.94,149.94,143.76,397.19,397.19,379.90,562.85,126,,L
GSREARC,111-26HJX1,Phase 1A ERGONOMICS,PH1A,W,HJX,LGS26HJX1,HJX,0819H,201111,2.00,7.00,2.00,4.00,106.07,106.07,518.49,280.97,280.97,1370.16,562.85,126,,L
GSREARC,111-26HJX1,Phase 1A ERGONOMICS,PH1A,W,HJX,LGS26HJX1,HJX,0819H,201112,2.00,2.00,2.00,3.00,106.24,106.24,143.76,281.43,281.43,379.90,422.14,126,,L
GSREARC,111-26HJX1,Phase 1A ERGONOMICS,PH1A,W,HJX,LGS26HJX1,HJX,0819H,201201,2.00,15.10,2.00,3.00,114.68,114.68,852.18,323.13,323.13,2401.18,484.70,126,,L
GSREARC,111-26HJX1,Phase 1A ERGONOMICS,PH1A,W,HJX,LGS26HJX1,HJX,0819H,201202,2.00,38.10,2.00,2.00,114.68,114.68,2487.25,323.13,323.13,7008.31,323.13,126,,L
