PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,CACLIN,E
LRIP8P,R84243AI-9G24,ASIP Inline Incorporation of Cooling Shroud,ASIP,W,HEX,,HEX,9G24,201109,68.00,0.00,0.00,68.00,3969.84,0.00,0.00,10646.60,0.00,0.00,10645.75,0001,,L
LRIP8P,R84243AI-9G24,ASIP Inline Incorporation of Cooling Shroud,ASIP,W,HEX,,HEX,9G24,201110,0.00,0.00,68.00,0.00,0.00,3969.84,0.00,0.00,10646.60,0.00,0.00,0001,,L
LRIP8P,R8A01HHX-9G0701,ASIP Inline 01 FT/Installation/Fuel Ops Spt,ASIP,W,HHX,,HHX,9G07,201109,940.60,0.00,0.00,940.60,43455.72,0.00,0.00,116542.60,0.00,0.00,116533.34,0001,,L
LRIP8P,R8A01HHX-9G0701,ASIP Inline 01 FT/Installation/Fuel Ops Spt,ASIP,W,HHX,,HHX,9G07,201110,170.00,0.00,1110.60,170.00,7854.00,51309.72,0.00,21063.41,137606.01,0.00,21061.74,0001,,L
LRIP8P,R8ASIHEX-818H01,AV IPT - ASIP 1 Flight Test Support,ASIP,W,HEX,,HEX,818H,201109,0.00,0.00,0.00,257.41,0.00,0.00,0.00,0.00,0.00,0.00,36667.96,0001,,L
LRIP8P,R8ASIHEX-818H01,AV IPT - ASIP 1 Flight Test Support,ASIP,W,HEX,,HEX,818H,201110,257.41,0.00,257.41,0.00,13673.62,13673.62,0.00,36670.87,36670.87,0.00,0.00,0001,,L
LRIP8P,R8ASIHEX-818H02,AV IPT - ASIP 2 Flight Test Support,ASIP,W,HEX,,HEX,818H,201109,243.00,0.00,0.00,92.57,12908.16,0.00,0.00,34618.01,0.00,0.00,13186.77,0001,,L
LRIP8P,R8ASIHEX-818H02,AV IPT - ASIP 2 Flight Test Support,ASIP,W,HEX,,HEX,818H,201110,0.00,0.00,174.96,77.14,0.00,9293.88,0.00,0.00,24924.97,0.00,10988.97,0001,,L
LRIP8P,R8ASIHEX-818H02,AV IPT - ASIP 2 Flight Test Support,ASIP,W,HEX,,HEX,818H,201111,0.00,0.00,68.04,150.39,0.00,3614.28,0.00,0.00,9693.04,0.00,21161.21,0001,,L
LRIP8P,R8ASIHJX-819H01,AV IPT - ASIP 1 Flight Test Support,ASIP,W,HJX,,HJX,819H,201109,77.40,0.00,77.40,77.40,4111.49,4111.49,0.00,11026.48,11026.48,0.00,11025.60,0001,,L
LRIP8P,R8ASIHJX-819H02,AV IPT - ASIP 2 Flight Test Support,ASIP,W,HJX,,HJX,819H,201109,27.77,0.00,69.25,27.77,1475.22,3678.83,0.00,3956.34,9866.13,0.00,3956.03,0001,,L
LRIP8P,R8ASIHJX-819H02,AV IPT - ASIP 2 Flight Test Support,ASIP,W,HJX,,HJX,819H,201110,23.14,0.00,0.00,23.14,1229.35,0.00,0.00,3296.95,0.00,0.00,3296.69,0001,,L
LRIP8P,R8ASIHJX-819H02,AV IPT - ASIP 2 Flight Test Support,ASIP,W,HJX,,HJX,819H,201111,21.99,0.00,0.00,0.00,1167.88,0.00,0.00,3132.11,0.00,0.00,-0.60,0001,,L
LRIP8P,R8ASIHJX-819H02,AV IPT - ASIP 2 Flight Test Support,ASIP,W,HJX,,HJX,819H,201203,0.00,0.00,3.65,0.00,0.00,193.62,0.00,0.00,519.27,0.00,0.00,0001,,L
LRIP8P,R8A02HHX-9G0701,ASIP Inline 02 FT/Installation/Fuel Ops Spt,ASIP,W,HHX,,HHX,9G07,201109,768.60,0.00,0.00,768.60,35509.32,0.00,0.00,95231.38,0.00,0.00,95223.82,0001,,L
LRIP8P,R8A02HHX-9G0701,ASIP Inline 02 FT/Installation/Fuel Ops Spt,ASIP,W,HHX,,HHX,9G07,201110,195.20,0.00,1110.20,195.20,9018.24,51291.24,0.00,24185.75,137556.44,0.00,24183.83,0001,,L
LRIP8P,R8A02HHX-9G0701,ASIP Inline 02 FT/Installation/Fuel Ops Spt,ASIP,W,HHX,,HHX,9G07,201111,146.40,0.00,0.00,146.40,6763.68,0.00,0.00,18139.31,0.00,0.00,17916.73,0001,,L
LRIP8P,R8A02HHX-9G0701,ASIP Inline 02 FT/Installation/Fuel Ops Spt,ASIP,W,HHX,,HHX,9G07,201112,0.00,0.00,0.00,244.00,0.00,0.00,0.00,0.00,0.00,0.00,29861.22,0001,,L
LRIP8P,R8ASIHBX-811H01,ASIP Weight Measurements,ASIP,W,HBX,,HBX,811H,201110,18.50,0.00,18.50,18.50,982.72,982.72,0.00,2635.53,2635.53,0.00,2635.32,0001,,L
LRIP8P,R8ASIHBX-811H01,ASIP Weight Measurements,ASIP,W,HBX,,HBX,811H,201111,0.00,0.00,0.00,18.50,0.00,0.00,0.00,0.00,0.00,0.00,2603.19,0001,,L
LRIP8P,R8A03HHX-9G0701,ASIP Retrofit 03 Sensor Install,ASIP,W,HHX,,HHX,9G07,201111,179.20,0.00,0.00,179.20,5913.60,0.00,0.00,22179.74,0.00,0.00,20877.61,0003,,L
LRIP8P,R8A03HHX-9G0701,ASIP Retrofit 03 Sensor Install,ASIP,W,HHX,,HHX,9G07,201112,51.20,0.00,0.00,150.40,1689.60,0.00,0.00,6337.07,0.00,0.00,17522.28,0003,,L
LRIP8P,R8A03HHX-9G0701,ASIP Retrofit 03 Sensor Install,ASIP,W,HHX,,HHX,9G07,201201,0.00,0.00,230.39,80.00,0.00,7602.98,0.00,0.00,28516.00,0.00,9851.67,0003,,L
LRIP8P,R8A03HHX-9G0701,ASIP Retrofit 03 Sensor Install,ASIP,W,HHX,,HHX,9G07,201202,0.00,0.00,0.01,0.00,0.00,0.22,0.00,0.00,0.81,0.00,0.00,0003,,L
LRIP8P,R84243AR-9G24,ASIP RETROFIT INCORP OF COOLING SHROUD,ASIP,W,HEX,,HEX,9G24,201109,102.00,0.00,0.00,102.00,5954.76,0.00,0.00,15969.89,0.00,0.00,15968.62,0003,,L
LRIP8P,R84243AR-9G24,ASIP RETROFIT INCORP OF COOLING SHROUD,ASIP,W,HEX,,HEX,9G24,201110,0.00,0.00,102.00,0.00,0.00,5954.76,0.00,0.00,15969.89,0.00,0.00,0003,,L
LRIP8P,R8A04HHX-9G0701,ASIP Retrofit 04 Sensor Install,ASIP,W,HHX,,HHX,9G07,201112,0.00,0.00,0.00,12.80,0.00,0.00,0.00,0.00,0.00,0.00,1491.26,0003,,L
LRIP8P,R8A04HHX-9G0701,ASIP Retrofit 04 Sensor Install,ASIP,W,HHX,,HHX,9G07,201201,57.60,0.00,198.38,57.60,1904.83,6560.29,0.00,7093.20,24429.15,0.00,7093.20,0003,,L
LRIP8P,R8A04HHX-9G0701,ASIP Retrofit 04 Sensor Install,ASIP,W,HHX,,HHX,9G07,201202,172.80,0.00,-0.23,20.10,5714.50,-7.47,0.00,21279.60,-27.81,0.00,2714.87,0003,,L
LRIP8P,R8A04HHX-9G0701,ASIP Retrofit 04 Sensor Install,ASIP,W,HHX,,HHX,9G07,201203,0.00,0.00,0.00,139.90,0.00,0.00,0.00,0.00,0.00,0.00,16690.05,0003,,L
LRIP8P,R8A05HHX-9G0701,ASIP Retrofit 05 Sensor Install,ASIP,W,HHX,,HHX,9G07,201208,230.40,0.00,0.00,230.40,7619.33,0.00,0.00,28372.80,0.00,0.00,27486.69,0003,,L
LRIP8P,R8AS1HHX-4A1G01,ASIP 3 Flight Test Support,ASIP,W,HHX,,HHX,4A1G,201111,93.40,0.00,0.00,93.40,4315.08,0.00,0.00,11572.48,0.00,0.00,11430.49,0013,,L
LRIP8P,R8AS1HHX-4A1G01,ASIP 3 Flight Test Support,ASIP,W,HHX,,HHX,4A1G,201112,497.90,0.00,0.00,0.00,23002.98,0.00,0.00,61691.00,0.00,0.00,0.00,0013,,L
LRIP8P,R8AS1HHX-4A1G01,ASIP 3 Flight Test Support,ASIP,W,HHX,,HHX,4A1G,201201,435.70,0.00,80.89,602.60,23401.45,3737.15,0.00,65938.16,10022.54,0.00,91196.54,0013,,L
LRIP8P,R8AS1HHX-4A1G01,ASIP 3 Flight Test Support,ASIP,W,HHX,,HHX,4A1G,201202,0.00,0.00,751.28,424.40,0.00,36518.04,0.00,0.00,99693.84,0.00,64228.03,0013,,L
LRIP8P,R8AS1HEX-818H01,ASIP 3 Flight Test Support,ASIP,W,HEX,,HEX,818H,201111,40.00,0.00,0.00,0.00,2124.80,0.00,0.00,5698.44,0.00,0.00,0.00,0013,,L
LRIP8P,R8AS1HEX-818H01,ASIP 3 Flight Test Support,ASIP,W,HEX,,HEX,818H,201112,126.25,0.00,0.00,0.00,6706.40,0.00,0.00,17985.69,0.00,0.00,0.00,0013,,L
LRIP8P,R8AS1HEX-818H01,ASIP 3 Flight Test Support,ASIP,W,HEX,,HEX,818H,201201,126.25,0.00,81.90,5.10,7239.18,4350.53,0.00,20397.79,11667.55,0.00,823.99,0013,,L
LRIP8P,R8AS1HEX-818H01,ASIP 3 Flight Test Support,ASIP,W,HEX,,HEX,818H,201202,0.00,0.00,40.95,176.25,0.00,2175.26,0.00,0.00,5833.78,0.00,28476.13,0013,,L
LRIP8P,R8AS1HEX-818H01,ASIP 3 Flight Test Support,ASIP,W,HEX,,HEX,818H,201203,0.00,0.00,0.00,211.00,0.00,0.00,0.00,0.00,0.00,0.00,33273.16,0013,,L
LRIP8P,R8AS1HJX-819H01,ASIP 3 Flight Test Support,ASIP,W,HJX,,HJX,819H,201112,46.55,0.00,0.00,46.55,2472.74,0.00,0.00,6631.56,0.00,0.00,6550.18,0013,,L
LRIP8P,R8AS1HJX-819H01,ASIP 3 Flight Test Support,ASIP,W,HJX,,HJX,819H,201201,41.65,0.00,0.00,30.00,2388.21,0.00,0.00,6729.25,0.00,0.00,4847.00,0013,,L
LRIP8P,R8AS1HJX-819H01,ASIP 3 Flight Test Support,ASIP,W,HJX,,HJX,819H,201202,0.00,0.00,22.05,45.00,0.00,1171.30,0.00,0.00,3141.26,0.00,7237.96,0013,,L
LRIP8P,R8AS1HJX-819H01,ASIP 3 Flight Test Support,ASIP,W,HJX,,HJX,819H,201203,0.00,0.00,0.00,43.20,0.00,0.00,0.00,0.00,0.00,0.00,6812.33,0013,,L
LRIP8P,R8AS2HHX-9G0701,ASIP 4 Flight Test Support,ASIP,W,HHX,,HHX,9G07,201202,496.90,0.00,0.00,15.70,26688.50,0.00,0.00,75200.07,0.00,0.00,3420.04,0014,,L
LRIP8P,R8AS2HHX-9G0701,ASIP 4 Flight Test Support,ASIP,W,HHX,,HHX,9G07,201203,530.00,0.00,0.00,522.50,28466.30,0.00,0.00,80209.37,0.00,0.00,77107.33,0014,,L
LRIP8P,R8AS2HHX-9G0701,ASIP 4 Flight Test Support,ASIP,W,HHX,,HHX,9G07,201204,0.00,0.00,0.00,481.20,0.00,0.00,0.00,0.00,0.00,0.00,71012.53,0014,,L
LRIP8P,R8AS2HEX-818H01,ASIP 4 Flight Test Support,ASIP,W,HEX,,HEX,818H,201202,122.80,0.00,0.00,50.00,7041.35,0.00,0.00,19840.39,0.00,0.00,8078.33,0014,,L
LRIP8P,R8AS2HEX-818H01,ASIP 4 Flight Test Support,ASIP,W,HEX,,HEX,818H,201203,153.50,0.00,0.00,85.00,8801.69,0.00,0.00,24800.48,0.00,0.00,13403.88,0014,,L
LRIP8P,R8AS2HEX-818H01,ASIP 4 Flight Test Support,ASIP,W,HEX,,HEX,818H,201204,0.00,0.00,0.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,11826.95,0014,,L
LRIP8P,R8AS2HEX-818H01,ASIP 4 Flight Test Support,ASIP,W,HEX,,HEX,818H,201205,0.00,0.00,0.00,76.30,0.00,0.00,0.00,0.00,0.00,0.00,12031.95,0014,,L
LRIP8P,R8AS2HEX-818H01,ASIP 4 Flight Test Support,ASIP,W,HEX,,HEX,818H,201206,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,6307.71,0014,,L
LRIP8P,R8AS2HJX-819H01,ASIP 4 Flight Test Support,ASIP,W,HJX,,HJX,819H,201202,33.64,0.00,0.00,0.00,1928.78,0.00,0.00,5434.71,0.00,0.00,-0.39,0014,,L
LRIP8P,R8AS2HJX-819H01,ASIP 4 Flight Test Support,ASIP,W,HJX,,HJX,819H,201203,49.16,0.00,0.00,20.70,2818.97,0.00,0.00,7943.01,0.00,0.00,3264.62,0014,,L
