PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,CACLIN,E
LRIP9B,R91392NR,CR21392 Steering Unit ATP Change LABOR,,W,HEX,LR91392NR,HEX,815H,201110,20.00,0.00,0.00,20.00,1073.00,0.00,0.00,2925.50,0.00,0.00,2814.26,0012,,L
LRIP9B,R91392NR,CR21392 Steering Unit ATP Change LABOR,,W,HEX,LR91392NR,HEX,815H,201111,19.00,0.00,0.00,19.00,1019.35,0.00,0.00,2779.23,0.00,0.00,2673.54,0012,,L
LRIP9B,R91392NR,CR21392 Steering Unit ATP Change LABOR,,W,HEX,LR91392NR,HEX,815H,201112,0.00,0.50,0.00,0.00,0.00,0.00,23.41,0.00,0.00,61.86,-0.37,0012,,L
LRIP9B,R91392NR,CR21392 Steering Unit ATP Change LABOR,,W,HEX,LR91392NR,HEX,815H,201202,0.00,0.00,19.50,0.00,0.00,1046.18,0.00,0.00,2852.36,0.00,0.00,0012,,L
LRIP9B,R91392NR,CR21392 Steering Unit ATP Change LABOR,,W,HEX,LR91392NR,HEX,815H,201203,0.00,0.00,0.00,48.66,0.00,0.00,0.00,0.00,0.00,0.00,7673.33,0012,,L
LRIP9B,AF38MFIW,AF38 - MELBORNE FL IWO,,W,HEX,LAF38MFIW,HEX,IWO,201201,0.00,0.30,0.00,0.00,0.00,0.00,156.76,0.00,0.00,573.49,0.00,0006,,L
LRIP9B,R9PBFOTO,AV Media Dept -Peculiar BL,,W,HHX,LR9PBFOTO,HHX,KE10,201106,99.00,0.00,99.00,0.00,2174.04,2174.04,0.00,5927.45,5927.45,0.00,0.00,0010,,L
LRIP9B,R9PBFOTO,AV Media Dept -Peculiar BL,,W,HHX,LR9PBFOTO,HHX,KE10,201107,17.00,124.24,17.00,124.24,373.32,373.32,5116.32,1017.85,1017.85,13520.36,8303.23,0010,,L
LRIP9B,R9PBFOTO,AV Media Dept -Peculiar BL,,W,HHX,LR9PBFOTO,HHX,KE10,201108,19.00,62.93,19.00,62.93,417.24,417.24,1596.40,1137.59,1137.59,4218.64,4205.42,0010,,L
LRIP9B,R9PBFOTO,AV Media Dept -Peculiar BL,,W,HHX,LR9PBFOTO,HHX,KE10,201109,21.00,25.94,21.00,21.00,461.16,461.16,1023.37,1257.34,1257.34,2704.35,1403.36,0010,,L
LRIP9B,R9PBFOTO,AV Media Dept -Peculiar BL,,W,HHX,LR9PBFOTO,HHX,KE10,201110,19.00,2.31,19.00,19.00,417.24,417.24,80.58,1137.59,1137.59,212.94,1254.23,0010,,L
LRIP9B,R9PBFOTO,AV Media Dept -Peculiar BL,,W,HHX,LR9PBFOTO,HHX,KE10,201111,17.00,2.14,17.00,20.80,373.32,373.32,71.87,1017.85,1017.85,189.92,1373.05,0010,,L
LRIP9B,R9PBFOTO,AV Media Dept -Peculiar BL,,W,HHX,LR9PBFOTO,HHX,KE10,201112,19.00,6.26,19.00,28.77,417.24,417.24,208.45,1137.59,1137.59,550.85,1899.45,0010,,L
LRIP9B,R9PBFOTO,AV Media Dept -Peculiar BL,,W,HHX,LR9PBFOTO,HHX,KE10,201201,17.00,2.10,17.00,38.40,624.41,624.41,70.17,1759.40,1759.40,195.60,3974.84,0010,,L
LRIP9B,R9PBFOTO,AV Media Dept -Peculiar BL,,W,HHX,LR9PBFOTO,HHX,KE10,201202,19.00,0.00,19.00,0.01,697.87,697.87,0.00,1966.39,1966.39,0.00,11.03,0010,,L
LRIP9B,R9PBFOTO,AV Media Dept -Peculiar BL,,W,HHX,LR9PBFOTO,HHX,KE10,201203,3.00,2.10,3.00,0.00,110.19,110.19,71.59,310.48,310.48,199.56,-0.20,0010,,L
LRIP9B,R9CB3J45,AV IPT-MFG Program Mgmt-Common BL,,W,H00,LR9CB3J45,H00,3J45,201103,121.28,0.00,121.28,11.45,5443.05,5443.05,0.00,21027.28,21027.28,0.00,565.78,0010,,L
LRIP9B,R9CB3J45,AV IPT-MFG Program Mgmt-Common BL,,W,H00,LR9CB3J45,H00,3J45,201104,99.00,0.00,99.00,9.34,4443.12,4443.12,0.00,17164.42,17164.42,0.00,461.84,0010,,L
LRIP9B,R9CB3J45,AV IPT-MFG Program Mgmt-Common BL,,W,H00,LR9CB3J45,H00,3J45,201105,99.00,0.00,99.00,9.34,4443.12,4443.12,0.00,17164.42,17164.42,0.00,461.84,0010,,L
LRIP9B,R9CB3J45,AV IPT-MFG Program Mgmt-Common BL,,W,H00,LR9CB3J45,H00,3J45,201106,115.71,2.25,115.71,13.17,5193.06,5193.06,87.47,20061.57,20061.57,310.32,2086.47,0010,,L
LRIP9B,R9CB3J45,AV IPT-MFG Program Mgmt-Common BL,,W,H00,LR9CB3J45,H00,3J45,201107,93.43,0.00,93.43,132.25,4193.14,4193.14,0.00,16198.70,16198.70,0.00,20951.51,0010,,L
LRIP9B,R9CB3J45,AV IPT-MFG Program Mgmt-Common BL,,W,H00,LR9CB3J45,H00,3J45,201108,99.00,0.10,99.00,0.01,4443.12,4443.12,5.23,17164.42,17164.42,18.55,2.05,0010,,L
LRIP9B,R9CB3J45,AV IPT-MFG Program Mgmt-Common BL,,W,H00,LR9CB3J45,H00,3J45,201109,115.71,2.56,115.71,65.89,5193.06,5193.06,143.44,20061.57,20061.57,508.88,10436.63,0010,,L
LRIP9B,R9CB3J45,AV IPT-MFG Program Mgmt-Common BL,,W,H00,LR9CB3J45,H00,3J45,201110,99.00,0.00,99.00,28.34,4443.12,4443.12,0.00,17164.42,17164.42,0.00,4226.67,0010,,L
LRIP9B,R9CB3J45,AV IPT-MFG Program Mgmt-Common BL,,W,H00,LR9CB3J45,H00,3J45,201111,93.43,10.12,93.43,29.59,4193.14,4193.14,463.02,16198.70,16198.70,1642.65,4412.23,0010,,L
