PROJECT,WBS ID,DESCRIPTION,ALIAS,E,IPT,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,EOC,E
LT4,4110BZ-0810H,AV IPT Program Management OP1 Baseline,,W,HXX,LT44110BZ,H00,0810H,201104,432.27,392.50,432.27,0.00,23191.27,23191.27,20484.95,62667.41,62667.41,54133.43,0.00,0001,LABOR,L
LT4,4110BZ-0810H,AV IPT Program Management OP1 Baseline,,W,HXX,LT44110BZ,H00,0810H,201105,440.10,423.60,440.10,0.00,23611.58,23611.58,22462.00,63803.16,63803.16,59357.97,0.00,0001,LABOR,L
LT4,4110BZ-0810H,AV IPT Program Management OP1 Baseline,,W,HXX,LT44110BZ,H00,0810H,201106,447.18,364.40,447.18,0.00,23991.26,23991.26,19341.27,64829.13,64829.13,51111.14,0.00,0001,LABOR,L
LT4,4110BZ-0810H,AV IPT Program Management OP1 Baseline,,W,HXX,LT44110BZ,H00,0810H,201107,454.87,292.00,454.87,0.00,24403.79,24403.79,15071.00,65943.87,65943.87,39826.55,0.00,0001,LABOR,L
LT4,4110BZ-0810H,AV IPT Program Management OP1 Baseline,,W,HXX,LT44110BZ,H00,0810H,201108,464.79,348.20,464.79,0.00,24936.05,24936.05,17522.55,67382.14,67382.14,46305.00,0.00,0001,LABOR,L
LT4,4110BZ-0810H,AV IPT Program Management OP1 Baseline,,W,HXX,LT44110BZ,H00,0810H,201109,478.20,532.10,478.20,0.00,25655.64,25655.64,27971.90,69326.61,69326.61,73918.40,0.00,0001,LABOR,L
LT4,4110BZ-0810H,AV IPT Program Management OP1 Baseline,,W,HXX,LT44110BZ,H00,0810H,201110,83.88,448.50,83.88,0.00,1026.76,1026.76,23962.68,-237.49,-237.49,63323.66,0.00,0001,LABOR,L
LT4,4110BZ-0810H,AV IPT Program Management OP1 Baseline,,W,HXX,LT44110BZ,H00,0810H,201111,506.80,401.90,506.80,506.80,27189.82,27189.82,21901.30,73472.28,73472.28,57876.27,71313.29,0001,LABOR,L
LT4,4110BZ-0810H,AV IPT Program Management OP1 Baseline,,W,HXX,LT44110BZ,H00,0810H,201112,590.28,425.20,590.28,616.53,31668.53,31668.53,22637.56,85574.63,85574.63,59821.90,86753.72,0001,LABOR,L
LT4,4110BZ-0810H,AV IPT Program Management OP1 Baseline,,W,HXX,LT44110BZ,H00,0810H,201201,583.70,891.70,583.70,500.00,33469.36,33469.36,51053.81,90651.59,90651.59,142573.41,80783.34,0001,LABOR,L
LT4,4110BZ-0810H,AV IPT Program Management OP1 Baseline,,W,HXX,LT44110BZ,H00,0810H,201202,594.17,684.30,594.17,684.30,34069.70,34069.70,37346.95,92277.63,92277.63,104107.16,110558.86,0001,LABOR,L
LT4,4110BZ-0810H,AV IPT Program Management OP1 Baseline,,W,HXX,LT44110BZ,H00,0810H,201203,675.75,0.00,0.00,373.66,38747.51,0.00,0.00,104947.43,0.00,0.00,58922.93,0001,LABOR,L
LT4,4110CZ-0810H,AV IPT Program Management OP1 OCO,,W,HXX,LT44110CZ,H00,0810H,201104,18.13,32.50,18.13,0.00,972.67,972.67,2217.21,2628.36,2628.36,5859.19,0.00,0002,LABOR,L
LT4,4110CZ-0810H,AV IPT Program Management OP1 OCO,,W,HXX,LT44110CZ,H00,0810H,201105,18.13,33.00,18.13,0.00,972.67,972.67,2338.84,2628.36,2628.36,6180.61,0.00,0002,LABOR,L
LT4,4110CZ-0810H,AV IPT Program Management OP1 OCO,,W,HXX,LT44110CZ,H00,0810H,201106,18.13,23.50,18.13,0.00,972.67,972.67,1673.32,2628.36,2628.36,4421.91,0.00,0002,LABOR,L
LT4,4110CZ-0810H,AV IPT Program Management OP1 OCO,,W,HXX,LT44110CZ,H00,0810H,201107,18.13,18.00,18.13,0.00,972.67,972.67,1291.00,2628.36,2628.36,3411.59,0.00,0002,LABOR,L
LT4,4110CZ-0810H,AV IPT Program Management OP1 OCO,,W,HXX,LT44110CZ,H00,0810H,201108,18.13,27.50,18.13,0.00,972.67,972.67,1952.74,2628.36,2628.36,5160.30,0.00,0002,LABOR,L
LT4,4110CZ-0810H,AV IPT Program Management OP1 OCO,,W,HXX,LT44110CZ,H00,0810H,201109,18.13,114.50,18.13,0.00,972.67,972.67,8121.67,2628.36,2628.36,21462.28,0.00,0002,LABOR,L
LT4,4110CZ-0810H,AV IPT Program Management OP1 OCO,,W,HXX,LT44110CZ,H00,0810H,201110,171.22,31.00,171.22,0.00,13963.44,13963.44,2204.71,37325.71,37325.71,5826.16,0.00,0002,LABOR,L
LT4,4110CZ-0810H,AV IPT Program Management OP1 OCO,,W,HXX,LT44110CZ,H00,0810H,201111,18.00,22.50,18.00,18.00,965.70,965.70,1599.45,2609.52,2609.52,4226.70,2532.83,0002,LABOR,L
LT4,4110CZ-0810H,AV IPT Program Management OP1 OCO,,W,HXX,LT44110CZ,H00,0810H,201112,24.00,15.50,24.00,22.87,1287.60,1287.60,1111.68,3479.36,3479.36,2937.72,3218.10,0002,LABOR,L
LT4,4110CZ-0810H,AV IPT Program Management OP1 OCO,,W,HXX,LT44110CZ,H00,0810H,201201,28.00,30.70,28.00,20.00,1605.52,1605.52,2146.91,4348.55,4348.55,5984.66,3231.33,0002,LABOR,L
LT4,4110CZ-0810H,AV IPT Program Management OP1 OCO,,W,HXX,LT44110CZ,H00,0810H,201202,28.00,24.30,28.00,24.30,1605.52,1605.52,1691.33,4348.55,4348.55,4714.70,3936.44,0002,LABOR,L
LT4,4110CZ-0810H,AV IPT Program Management OP1 OCO,,W,HXX,LT44110CZ,H00,0810H,201203,28.00,0.00,0.00,23.68,1605.52,0.00,0.00,4348.54,0.00,0.00,3733.64,0002,LABOR,L
LT4,4110NZ-0810H,AV IPT Program Management OP1 BACN,,W,HXX,LT44110NZ,H00,0810H,201104,38.56,20.00,38.56,0.00,2068.74,2068.74,1486.01,5590.16,5590.16,3926.92,0.00,0003,LABOR,L
LT4,4110NZ-0810H,AV IPT Program Management OP1 BACN,,W,HXX,LT44110NZ,H00,0810H,201105,38.55,45.00,38.55,0.00,2068.21,2068.21,3242.35,5588.71,5588.71,8568.22,0.00,0003,LABOR,L
LT4,4110NZ-0810H,AV IPT Program Management OP1 BACN,,W,HXX,LT44110NZ,H00,0810H,201106,38.55,11.50,38.55,0.00,2068.21,2068.21,824.12,5588.71,5588.71,2177.82,0.00,0003,LABOR,L
LT4,4110NZ-0810H,AV IPT Program Management OP1 BACN,,W,HXX,LT44110NZ,H00,0810H,201107,38.55,5.00,38.55,0.00,2068.21,2068.21,320.00,5588.71,5588.71,845.63,0.00,0003,LABOR,L
LT4,4110NZ-0810H,AV IPT Program Management OP1 BACN,,W,HXX,LT44110NZ,H00,0810H,201108,38.55,4.00,38.55,0.00,2068.21,2068.21,284.32,5588.71,5588.71,751.34,0.00,0003,LABOR,L
LT4,4110NZ-0810H,AV IPT Program Management OP1 BACN,,W,HXX,LT44110NZ,H00,0810H,201109,38.55,11.50,38.55,0.00,2068.21,2068.21,817.04,5588.71,5588.71,2159.11,0.00,0003,LABOR,L
LT4,4110NZ-0810H,AV IPT Program Management OP1 BACN,,W,HXX,LT44110NZ,H00,0810H,201110,-107.91,26.40,-107.91,0.00,-4123.90,-4123.90,1312.04,-11313.74,-11313.74,3467.19,0.00,0003,LABOR,L
LT4,4110NZ-0810H,AV IPT Program Management OP1 BACN,,W,HXX,LT44110NZ,H00,0810H,201111,40.00,8.00,40.00,40.00,2146.00,2146.00,710.48,5798.91,5798.91,1877.51,5628.52,0003,LABOR,L
LT4,4110NZ-0810H,AV IPT Program Management OP1 BACN,,W,HXX,LT44110NZ,H00,0810H,201112,50.00,6.00,50.00,58.00,2682.50,2682.50,426.48,7248.64,7248.64,1127.01,8161.35,0003,LABOR,L
LT4,4110NZ-0810H,AV IPT Program Management OP1 BACN,,W,HXX,LT44110NZ,H00,0810H,201201,60.00,6.90,60.00,10.00,3440.40,3440.40,479.96,9318.31,9318.31,1337.92,1615.67,0003,LABOR,L
LT4,4110NZ-0810H,AV IPT Program Management OP1 BACN,,W,HXX,LT44110NZ,H00,0810H,201202,60.00,10.00,60.00,10.00,3440.40,3440.40,659.62,9318.31,9318.31,1838.74,1779.64,0003,LABOR,L
LT4,4110NZ-0810H,AV IPT Program Management OP1 BACN,,W,HXX,LT44110NZ,H00,0810H,201203,64.78,0.00,0.00,168.55,3714.71,0.00,0.00,10061.29,0.00,0.00,26578.69,0003,LABOR,L
LT4,4131BZ-0819H,AV IPT Flt. Sys. MPWG Support OP1,,W,HXX,LT44131BZ,HJX,0819H,201104,23.30,13.00,23.30,0.00,1250.05,1250.05,882.96,3377.87,3377.87,2333.31,0.00,0001,LABOR,L
LT4,4131BZ-0819H,AV IPT Flt. Sys. MPWG Support OP1,,W,HXX,LT44131BZ,HJX,0819H,201105,23.30,0.00,23.30,0.00,1250.05,1250.05,0.00,3377.87,3377.87,0.00,0.00,0001,LABOR,L
LT4,4131BZ-0819H,AV IPT Flt. Sys. MPWG Support OP1,,W,HXX,LT44131BZ,HJX,0819H,201106,27.25,0.00,27.25,0.00,1461.96,1461.96,0.00,3950.51,3950.51,0.00,0.00,0001,LABOR,L
