PROJECT,WBS ID,DESCRIPTION,ALIAS,E,Type,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E
EHSS,211000-810H,AV IPT FFP PM SUPPORT,BASIC,C,FFP,LEH211000,H00,810H,201112,0.00,-835.10,0.00,0.00,0.00,0.00,-44970.14,0.00,0.00,-119124.22,0.00,1,BASIC,L
EHSS,2110FD-3D82,First Flight Delay - PROGRAM IMPACT,FIRST FLIGHT DELAY,C,FFP,LEH2110FD,H00,3D82,201112,38.00,42.50,38.00,0.00,1816.40,1816.40,1640.08,6907.30,6907.30,5790.20,0.00,1,FIRST FLIGHT DELAY,L
EHSS,2110FD-810H,First Flight Delay - PROGRAM IMPACT,FIRST FLIGHT DELAY,C,FFP,LEH2110FD,H00,810H,201112,483.00,835.10,483.00,0.00,26294.52,26294.52,44970.14,71915.22,71915.22,119124.22,0.00,1,FIRST FLIGHT DELAY,L
EHSS,212120-4A1G,PCR #13687 EADS EMI Absorber - Palmdale Install,BASIC,C,FFP,LEH212120,HHX,4A1G,201102,-90.00,0.00,-90.00,0.00,-3002.40,-3002.40,0.00,-10538.65,-10538.65,0.00,0.00,1,BASIC,L
EHSS,212002-ML29,CLIN 2 - Material Engineer Coordination,BASIC,C,CPFF,LEH212002,H00,ML29,201101,10.00,-36.00,10.00,0.00,544.40,544.40,-1200.53,1488.93,1488.93,-4238.40,0.00,2,BASIC,L
EHSS,212002-ML29,CLIN 2 - Material Engineer Coordination,BASIC,C,CPFF,LEH212002,H00,ML29,201102,10.00,3.50,10.00,0.00,544.40,544.40,100.08,1488.93,1488.93,353.33,0.00,2,BASIC,L
EHSS,212002-ML29,CLIN 2 - Material Engineer Coordination,BASIC,C,CPFF,LEH212002,H00,ML29,201103,10.00,5.00,10.00,0.00,544.40,544.40,150.50,1488.93,1488.93,531.33,0.00,2,BASIC,L
EHSS,212002-ML29,CLIN 2 - Material Engineer Coordination,BASIC,C,CPFF,LEH212002,H00,ML29,201104,10.00,8.00,10.00,0.00,544.40,544.40,268.69,1488.93,1488.93,948.59,0.00,2,BASIC,L
EHSS,212002-ML29,CLIN 2 - Material Engineer Coordination,BASIC,C,CPFF,LEH212002,H00,ML29,201105,8.00,12.00,8.00,0.00,435.52,435.52,384.48,1191.14,1191.14,1357.38,0.00,2,BASIC,L
EHSS,212002-ML29,CLIN 2 - Material Engineer Coordination,BASIC,C,CPFF,LEH212002,H00,ML29,201106,10.00,5.00,10.00,0.00,544.40,544.40,140.00,1488.93,1488.93,494.26,0.00,2,BASIC,L
EHSS,212002-ML29,CLIN 2 - Material Engineer Coordination,BASIC,C,CPFF,LEH212002,H00,ML29,201107,4.00,6.50,4.00,0.00,217.76,217.76,206.80,595.57,595.57,730.10,0.00,2,BASIC,L
EHSS,212002-ML29,CLIN 2 - Material Engineer Coordination,BASIC,C,CPFF,LEH212002,H00,ML29,201108,4.00,3.00,4.00,0.00,217.76,217.76,103.40,595.57,595.57,365.05,0.00,2,BASIC,L
EHSS,212002-ML29,CLIN 2 - Material Engineer Coordination,BASIC,C,CPFF,LEH212002,H00,ML29,201109,5.00,1.00,5.00,0.00,272.20,272.20,36.65,744.46,744.46,129.39,0.00,2,BASIC,L
EHSS,212002-ML29,CLIN 2 - Material Engineer Coordination,BASIC,C,CPFF,LEH212002,H00,ML29,201110,4.00,0.00,4.00,0.00,217.76,217.76,0.00,595.57,595.57,0.00,0.00,2,BASIC,L
EHSS,212002-ML29,CLIN 2 - Material Engineer Coordination,BASIC,C,CPFF,LEH212002,H00,ML29,201111,4.00,3.00,4.00,0.00,217.76,217.76,109.95,595.57,595.57,388.17,0.00,2,BASIC,L
EHSS,212002-ML29,CLIN 2 - Material Engineer Coordination,BASIC,C,CPFF,LEH212002,H00,ML29,201112,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,BASIC,L
EHSS,212002-810H,CLIN 2 - PROGRAM MGMT - AV TIER4,BASIC,C,FFP,LEH212002,H00,810H,201101,55.00,286.20,55.00,0.00,2994.20,2994.20,15070.31,8189.10,8189.10,39920.69,0.00,2,BASIC,L
EHSS,212002-810H,CLIN 2 - PROGRAM MGMT - AV TIER4,BASIC,C,FFP,LEH212002,H00,810H,201102,145.00,242.60,145.00,0.00,7893.80,7893.80,11481.38,21589.45,21589.45,30413.75,0.00,2,BASIC,L
EHSS,212002-810H,CLIN 2 - PROGRAM MGMT - AV TIER4,BASIC,C,FFP,LEH212002,H00,810H,201103,145.00,-326.70,145.00,0.00,7893.80,7893.80,-14123.50,21589.45,21589.45,-37412.62,0.00,2,BASIC,L
