PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E
EMDLBRF,121-06HBD1,ASIP DESIGN ANALY & DEV TESTS-LBR,SUST,W,HBD,LX806HBD1,HBX,0811H,201101,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,1462.75,0006,,L
EMDLBRF,121-06HBD1,ASIP DESIGN ANALY & DEV TESTS-LBR,SUST,W,HBD,LX806HBD1,HBX,0811H,201102,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,1462.75,0006,,L
EMDLBRF,121-06HBD1,ASIP DESIGN ANALY & DEV TESTS-LBR,SUST,W,HBD,LX806HBD1,HBX,0811H,201103,0.00,1.00,0.00,10.00,0.00,0.00,71.60,0.00,0.00,189.21,1462.75,0006,,L
EMDLBRF,121-06HBD1,ASIP DESIGN ANALY & DEV TESTS-LBR,SUST,W,HBD,LX806HBD1,HBX,0811H,201111,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,562.85,0006,,L
EMDLBRF,121-06HBD1,ASIP DESIGN ANALY & DEV TESTS-LBR,SUST,W,HBD,LX806HBD1,HBX,0811H,201112,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,1266.42,0006,,L
EMDLBRF,121-06HBD1,ASIP DESIGN ANALY & DEV TESTS-LBR,SUST,W,HBD,LX806HBD1,HBX,0811H,201201,0.00,7.20,0.00,0.00,0.00,0.00,451.79,0.00,0.00,1273.01,0.00,0006,,L
EMDLBRF,121-06HBD1,ASIP DESIGN ANALY & DEV TESTS-LBR,SUST,W,HBD,LX806HBD1,HBX,0811H,201202,0.00,4.50,0.00,0.00,0.00,0.00,329.23,0.00,0.00,927.67,0.00,0006,,L
EMDLBRF,121-06HBD1,ASIP DESIGN ANALY & DEV TESTS-LBR,SUST,W,HBD,LX806HBD1,HBX,0811H,201203,0.00,12.90,50.00,0.00,0.00,2528.00,885.15,0.00,6943.08,2494.08,0.00,0006,,L
EMDLBRF,121-06HBD1,ASIP DESIGN ANALY & DEV TESTS-LBR,SUST,W,HBD,LX806HBD1,HBX,0811H,201205,0.00,0.00,0.00,141.90,0.00,0.00,0.00,0.00,0.00,0.00,22618.44,0006,,L
EMDLBRF,121-06HBD1,ASIP DESIGN ANALY & DEV TESTS-LBR,SUST,W,HBD,LX806HBD1,HBX,0811H,201206,0.00,0.00,0.00,146.40,0.00,0.00,0.00,0.00,0.00,0.00,23335.73,0006,,L
EMDLBRF,121-06HBD1,ASIP DESIGN ANALY & DEV TESTS-LBR,SUST,W,HBD,LX806HBD1,HBX,0811H,201207,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0006,,L
