PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E
FY10INF,41480A-HXX,FY10 BL - Air Vehicle,0120AA,W,HXX,LX841480A,HXX,,201105,0.00,322.54,0.00,0.00,0.00,0.00,12286.94,0.00,0.00,37257.99,0.00,0120,,L
FY10INF,41493A,FY10 BL - Air Vehicle,0120AA,W,HXX,LX841493A,HXX,,201101,0.00,-25.00,0.00,0.00,0.00,0.00,-1353.45,0.00,0.00,-4006.52,0.00,0120,,L
FY10INF,41493A,FY10 BL - Air Vehicle,0120AA,W,HXX,LX841493A,HXX,,201102,0.00,0.63,0.00,0.00,0.00,0.00,44.91,0.00,0.00,168.83,0.00,0120,,L
FY10INF,41493A,FY10 BL - Air Vehicle,0120AA,W,HXX,LX841493A,HXX,,201105,0.00,-319.73,0.00,0.00,0.00,0.00,-12474.64,0.00,0.00,-38843.40,0.00,0120,,L
FY10INF,414A3A,FY10 BL - Air Vehicle,0127,W,HXX,LX8414A3A,HXX,,201101,0.00,75.50,0.00,0.00,0.00,0.00,2042.74,0.00,0.00,8431.54,0.00,0127,,L
FY10INF,414A3A,FY10 BL - Air Vehicle,0127,W,HXX,LX8414A3A,HXX,,201102,0.00,97.00,0.00,0.00,0.00,0.00,2960.91,0.00,0.00,11130.66,0.00,0127,,L
FY10INF,414D0A-HXX,FY10 INF - Program Management,0120AG,W,HXX,LX8414D0A,HXX,,201101,634.00,628.90,634.00,634.00,35079.22,35079.22,34602.95,96080.42,96080.42,93583.30,92738.38,0120AG,,L
FY10INF,414D0A-HXX,FY10 INF - Program Management,0120AG,W,HXX,LX8414D0A,HXX,,201102,528.00,550.10,528.00,550.10,29214.24,29214.24,29160.73,80016.50,80016.50,79022.68,80465.90,0120AG,,L
FY10INF,414D0A-HXX,FY10 INF - Program Management,0120AG,W,HXX,LX8414D0A,HXX,,201103,528.00,769.70,528.00,569.80,29214.24,29214.24,41570.91,80016.50,80016.50,116395.21,83347.52,0120AG,,L
FY10INF,414D0A-HXX,FY10 INF - Program Management,0120AG,W,HXX,LX8414D0A,HXX,,201104,660.00,622.80,660.00,615.70,36517.80,36517.80,32118.00,100020.63,100020.63,89613.08,89259.83,0120AG,,L
FY10INF,414D0A-HXX,FY10 INF - Program Management,0120AG,W,HXX,LX8414D0A,HXX,,201105,145.00,331.09,145.00,145.00,8022.85,8022.85,16669.97,21974.23,21974.23,46026.66,21021.07,0120AG,,L
FY10INF,414D1A-HXX,FY10 INF - Systems Engineering,0120AG,W,HXX,LX8414D1A,HXX,,201101,70.00,36.90,70.00,70.00,3873.10,3873.10,2126.69,10608.25,10608.25,5746.74,10239.25,0120AG,,L
FY10INF,414D1A-HXX,FY10 INF - Systems Engineering,0120AG,W,HXX,LX8414D1A,HXX,,201102,60.00,49.40,60.00,49.40,3319.80,3319.80,3159.68,9092.78,9092.78,8538.08,7225.99,0120AG,,L
FY10INF,414D1A-HXX,FY10 INF - Systems Engineering,0120AG,W,HXX,LX8414D1A,HXX,,201103,60.00,27.90,60.00,60.00,3319.80,3319.80,1892.45,9092.78,9092.78,5113.77,8776.50,0120AG,,L
FY10INF,414D1A-HXX,FY10 INF - Systems Engineering,0120AG,W,HXX,LX8414D1A,HXX,,201104,73.00,32.70,73.00,60.00,4039.09,4039.09,2143.78,11062.89,11062.89,5792.92,8698.38,0120AG,,L
FY10INF,414D1A-HXX,FY10 INF - Systems Engineering,0120AG,W,HXX,LX8414D1A,HXX,,201105,18.00,14.80,18.00,18.00,995.94,995.94,828.55,2727.84,2727.84,2238.91,2609.51,0120AG,,L
FY10INF,414D2A-HXX,FY10 INF - Change Control Process,0120AG,W,HXX,LX8414D2A,HXX,,201101,324.00,412.00,324.00,324.00,17926.92,17926.92,18608.49,49101.04,49101.04,50283.82,47393.12,0120AG,,L
FY10INF,414D2A-HXX,FY10 INF - Change Control Process,0120AG,W,HXX,LX8414D2A,HXX,,201102,270.00,420.00,270.00,420.00,14939.10,14939.10,18559.17,40917.53,40917.53,50150.55,61435.52,0120AG,,L
FY10INF,414D2A-HXX,FY10 INF - Change Control Process,0120AG,W,HXX,LX8414D2A,HXX,,201103,216.00,-9.70,216.00,216.00,11951.28,11951.28,4084.33,32734.02,32734.02,11036.67,31595.41,0120AG,,L
FY10INF,414D2A-HXX,FY10 INF - Change Control Process,0120AG,W,HXX,LX8414D2A,HXX,,201104,108.00,185.74,108.00,108.00,5975.64,5975.64,8963.51,16367.01,16367.01,24906.24,15657.08,0120AG,,L
FY10INF,414D2A-HXX,FY10 INF - Change Control Process,0120AG,W,HXX,LX8414D2A,HXX,,201105,54.00,95.50,54.00,54.00,2987.82,2987.82,4399.27,8183.51,8183.51,12019.93,7828.54,0120AG,,L
,,,,,,,,,,,,,,,,,,,,,,,
