PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E
FY12INF,40H00A,FY12 INF - Program Management,0139,W,HXX,LX840H00A,H00,,201201,458.56,1015.70,458.56,458.56,26294.09,26294.09,56390.73,74088.74,74088.74,162409.99,74088.74,0139,,L
FY12INF,40H00A,FY12 INF - Program Management,0139,W,HXX,LX840H00A,H00,,201202,458.56,203.10,0.00,458.56,26294.09,0.00,10777.64,74088.74,0.00,31305.27,74088.74,0139,,L
FY12INF,40H00A,FY12 INF - Program Management,0139,W,HXX,LX840H00A,H00,,201203,573.21,0.00,0.00,573.21,32867.61,0.00,0.00,92610.92,0.00,0.00,92610.92,0139,,L
FY12INF,40H00A,FY12 INF - Program Management,0139,W,HXX,LX840H00A,H00,,201204,458.56,0.00,0.00,458.56,26294.09,0.00,0.00,74088.74,0.00,0.00,74088.74,0139,,L
FY12INF,40H00A,FY12 INF - Program Management,0139,W,HXX,LX840H00A,H00,,201205,458.56,0.00,0.00,458.56,26294.09,0.00,0.00,74088.74,0.00,0.00,74088.74,0139,,L
FY12INF,40H00A,FY12 INF - Program Management,0139,W,HXX,LX840H00A,H00,,201206,550.28,0.00,0.00,550.28,31552.90,0.00,0.00,88906.48,0.00,0.00,88906.48,0139,,L
FY12INF,40H00A,FY12 INF - Program Management,0139,W,HXX,LX840H00A,H00,,201207,412.71,0.00,0.00,412.71,23664.68,0.00,0.00,66679.86,0.00,0.00,66679.86,0139,,L
FY12INF,40H00A,FY12 INF - Program Management,0139,W,HXX,LX840H00A,H00,,201208,458.56,0.00,0.00,458.56,26294.09,0.00,0.00,74088.74,0.00,0.00,74088.74,0139,,L
FY12INF,40H00A,FY12 INF - Program Management,0139,W,HXX,LX840H00A,H00,,201209,550.28,0.00,0.00,550.28,31552.90,0.00,0.00,88906.48,0.00,0.00,88906.48,0139,,L
FY12INF,40H00A,FY12 INF - Program Management,0139,W,HXX,LX840H00A,H00,,201210,458.56,0.00,0.00,458.56,26294.09,0.00,0.00,74088.74,0.00,0.00,74088.74,0139,,L
FY12INF,40H00A,FY12 INF - Program Management,0139,W,HXX,LX840H00A,H00,,201211,435.64,0.00,0.00,435.64,24979.38,0.00,0.00,70384.30,0.00,0.00,70384.30,0139,,L
FY12INF,41H00A,FY12 INF - Systems Engineering,0139,W,H00,LX841H00A,H00,,201201,13.29,5.50,13.29,13.29,762.15,762.15,353.17,2147.50,2147.50,995.13,2147.50,0139,,L
FY12INF,41H00A,FY12 INF - Systems Engineering,0139,W,H00,LX841H00A,H00,,201202,13.29,0.00,0.00,13.29,762.15,0.00,0.00,2147.50,0.00,0.00,2147.50,0139,,L
