PROJECT,WBS ID,DESCRIPTION,ALIAS,E,XREF-7,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E,
GHBOA,100-01HEX1,HALE AV AVIONICS AND ELECTRICAL-ENG,,W,,LY101HEX1,HEX,818H,201101,11.46,0.00,11.46,11.46,634.36,634.36,0.00,1807.62,1807.62,0.00,1677.04,1,,L,
GHBOA,100-01HEX1,HALE AV AVIONICS AND ELECTRICAL-ENG,,W,,LY101HEX1,HEX,818H,201102,9.17,0.00,9.17,9.17,507.49,507.49,0.00,1446.09,1446.09,0.00,1341.63,1,,L,
GHBOA,100-01HEX1,HALE AV AVIONICS AND ELECTRICAL-ENG,,W,,LY101HEX1,HEX,818H,201103,9.17,0.00,9.17,18.34,507.49,507.49,0.00,1446.09,1446.09,0.00,2682.97,1,,L,
GHBOA,100-01HEX1,HALE AV AVIONICS AND ELECTRICAL-ENG,,W,,LY101HEX1,HEX,818H,201104,11.46,0.00,11.46,11.46,634.36,634.36,0.00,1807.62,1807.62,0.00,1677.04,1,,L,
GHBOA,100-01HEX1,HALE AV AVIONICS AND ELECTRICAL-ENG,,W,,LY101HEX1,HEX,818H,201105,8.71,0.00,8.71,8.71,482.11,482.11,0.00,1373.79,1373.79,0.00,1274.55,1,,L,
GHBOA,100-01HEX1,HALE AV AVIONICS AND ELECTRICAL-ENG,,W,,LY101HEX1,HEX,818H,201106,8.71,0.00,8.71,8.71,482.11,482.11,0.00,1373.79,1373.79,0.00,1274.55,1,,L,
GHBOA,100-01HEX1,HALE AV AVIONICS AND ELECTRICAL-ENG,,W,,LY101HEX1,HEX,818H,201107,11.01,0.00,11.01,11.01,608.98,608.98,0.00,1735.31,1735.31,0.00,1609.96,1,,L,
GHBOA,100-01HEX1,HALE AV AVIONICS AND ELECTRICAL-ENG,,W,,LY101HEX1,HEX,818H,201108,9.17,0.00,9.17,9.17,507.49,507.49,0.00,1446.09,1446.09,0.00,1341.63,1,,L,
GHBOA,100-01HEX1,HALE AV AVIONICS AND ELECTRICAL-ENG,,W,,LY101HEX1,HEX,818H,201109,9.17,0.00,9.17,9.17,507.49,507.49,0.00,1446.09,1446.09,0.00,1306.54,1,,L,
GHBOA,100-01HEX1,HALE AV AVIONICS AND ELECTRICAL-ENG,,W,,LY101HEX1,HEX,818H,201110,11.46,0.00,11.46,11.46,634.36,634.36,0.00,1807.62,1807.62,0.00,1613.27,1,,L,
GHBOA,100-01HEX1,HALE AV AVIONICS AND ELECTRICAL-ENG,,W,,LY101HEX1,HEX,818H,201111,8.25,0.00,8.25,19.71,456.74,456.74,0.00,1301.48,1301.48,0.00,2774.12,1,,L,
GHBOA,100-01HEX1,HALE AV AVIONICS AND ELECTRICAL-ENG,,W,,LY101HEX1,HEX,818H,201112,6.88,0.00,6.88,26.59,380.61,380.61,0.00,1084.57,1084.57,0.00,3741.41,1,,L,
GHBOA,100-01HEX1,HALE AV AVIONICS AND ELECTRICAL-ENG,,W,,LY101HEX1,HEX,818H,201201,11.01,0.00,0.00,13.00,631.10,0.00,0.00,1778.26,0.00,0.00,2099.80,1,,L,
GHBOA,100-01HEX1,HALE AV AVIONICS AND ELECTRICAL-ENG,,W,,LY101HEX1,HEX,818H,201202,9.17,0.00,0.00,11.00,525.92,0.00,0.00,1481.89,0.00,0.00,1777.54,1,,L,
GHBOA,100-01HEX1,HALE AV AVIONICS AND ELECTRICAL-ENG,,W,,LY101HEX1,HEX,818H,201203,9.17,0.00,0.00,11.00,525.92,0.00,0.00,1481.89,0.00,0.00,1777.54,1,,L,
GHBOA,100-01HEX1,HALE AV AVIONICS AND ELECTRICAL-ENG,,W,,LY101HEX1,HEX,818H,201204,11.46,0.00,0.00,13.00,657.40,0.00,0.00,1852.36,0.00,0.00,2101.14,1,,L,
GHBOA,100-01HEX1,HALE AV AVIONICS AND ELECTRICAL-ENG,,W,,LY101HEX1,HEX,818H,201205,8.71,0.00,0.00,12.00,499.63,0.00,0.00,1407.79,0.00,0.00,1939.32,1,,L,
GHBOA,100-01HEX1,HALE AV AVIONICS AND ELECTRICAL-ENG,,W,,LY101HEX1,HEX,818H,201206,9.17,0.00,0.00,11.00,525.92,0.00,0.00,1481.89,0.00,0.00,1777.54,1,,L,
GHBOA,100-01HEX1,HALE AV AVIONICS AND ELECTRICAL-ENG,,W,,LY101HEX1,HEX,818H,201207,11.01,0.00,0.00,11.76,631.10,0.00,0.00,1778.26,0.00,0.00,1899.46,1,,L,
GHBOA,100-01HEX1,HALE AV AVIONICS AND ELECTRICAL-ENG,,W,,LY101HEX1,HEX,818H,201208,9.17,0.00,0.00,11.00,525.92,0.00,0.00,1481.89,0.00,0.00,1777.54,1,,L,
GHBOA,100-01HEX1,HALE AV AVIONICS AND ELECTRICAL-ENG,,W,,LY101HEX1,HEX,818H,201209,8.71,0.00,0.00,11.00,499.63,0.00,0.00,1407.79,0.00,0.00,1777.76,1,,L,
GHBOA,100-01HEX1,HALE AV AVIONICS AND ELECTRICAL-ENG,,W,,LY101HEX1,HEX,818H,201210,11.46,0.00,0.00,13.00,657.40,0.00,0.00,1852.36,0.00,0.00,2101.14,1,,L,
