PROJECT,WBS ID,DESCRIPTION,ALIAS,E,XREF-7,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E
GHBOA07,12000A-0816H,HALE AIR VEHICLE PRODUCTION - ENG,,W,HXX,LD312000A,HHX,0816H,201101,9.08,0.00,9.08,9.08,482.06,508.84,0.00,1292.73,1444.59,0.00,1327.45,1,,L
GHBOA07,12000A-0816H,HALE AIR VEHICLE PRODUCTION - ENG,,W,HXX,LD312000A,HHX,0816H,201102,7.26,0.00,7.26,7.26,385.65,407.07,0.00,1034.18,1155.67,0.00,1061.96,1,,L
GHBOA07,12000A-0816H,HALE AIR VEHICLE PRODUCTION - ENG,,W,HXX,LD312000A,HHX,0816H,201103,7.26,0.00,7.26,14.52,385.65,407.07,0.00,1034.18,1155.67,0.00,2123.91,1,,L
GHBOA07,12000A-0816H,HALE AIR VEHICLE PRODUCTION - ENG,,W,HXX,LD312000A,HHX,0816H,201104,9.08,0.00,9.08,9.08,482.06,508.84,0.00,1292.73,1444.59,0.00,1327.45,1,,L
GHBOA07,12000A-0816H,HALE AIR VEHICLE PRODUCTION - ENG,,W,HXX,LD312000A,HHX,0816H,201105,6.90,0.00,6.90,6.90,366.37,386.71,0.00,982.48,1097.89,0.00,1008.86,1,,L
GHBOA07,12000A-0816H,HALE AIR VEHICLE PRODUCTION - ENG,,W,HXX,LD312000A,HHX,0816H,201106,6.90,0.00,6.90,0.00,366.37,386.71,0.00,982.48,1097.89,0.00,-0.43,1,,L
GHBOA07,12000A-0816H,HALE AIR VEHICLE PRODUCTION - ENG,,W,HXX,LD312000A,HHX,0816H,201107,-173.51,0.00,-173.51,0.00,-9009.34,-9444.48,0.00,-22945.52,-25337.16,0.00,0.29,1,,L
GHBOA07,12000A-0816H,HALE AIR VEHICLE PRODUCTION - ENG,,W,HXX,LD312000A,HHX,0816H,201109,13.00,0.00,13.00,13.00,690.56,690.56,0.00,1851.85,1851.85,0.00,1851.85,1,,L
GHBOA07,12000A-0816H,HALE AIR VEHICLE PRODUCTION - ENG,,W,HXX,LD312000A,HHX,0816H,201110,13.00,0.00,13.00,-0.01,690.56,690.56,0.00,1851.85,1851.85,0.00,-0.70,1,,L
GHBOA07,12000A-0816H,HALE AIR VEHICLE PRODUCTION - ENG,,W,HXX,LD312000A,HHX,0816H,201111,13.00,0.00,13.00,26.00,690.56,690.56,0.00,1851.85,1851.85,0.00,3659.10,1,,L
GHBOA07,12000A-0816H,HALE AIR VEHICLE PRODUCTION - ENG,,W,HXX,LD312000A,HHX,0816H,201112,12.00,0.00,12.00,-0.01,637.44,637.44,0.00,1709.40,1709.40,0.00,-0.70,1,,L
GHBOA07,12000A-0816H,HALE AIR VEHICLE PRODUCTION - ENG,,W,HXX,LD312000A,HHX,0816H,201202,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,4039.17,1,,L
GHBOA07,12000A-0810H,HALE AIR VEHICLE - PROGRAM MGMT,,W,HXX,LD312000A,H00,0810H,201101,0.98,0.00,0.98,0.98,51.79,54.67,0.00,138.89,155.20,0.00,142.62,1,,L
GHBOA07,12000A-0810H,HALE AIR VEHICLE - PROGRAM MGMT,,W,HXX,LD312000A,H00,0810H,201102,0.78,0.00,0.78,0.00,41.43,43.73,0.00,111.11,124.16,0.00,0.00,1,,L
GHBOA07,12000A-0810H,HALE AIR VEHICLE - PROGRAM MGMT,,W,HXX,LD312000A,H00,0810H,201103,0.78,0.00,0.78,0.78,41.43,43.73,0.00,111.11,124.16,0.00,114.09,1,,L
GHBOA07,12000A-0810H,HALE AIR VEHICLE - PROGRAM MGMT,,W,HXX,LD312000A,H00,0810H,201104,0.98,0.00,0.98,-0.01,51.79,54.67,0.00,138.89,155.20,0.00,-0.73,1,,L
GHBOA07,12000A-0810H,HALE AIR VEHICLE - PROGRAM MGMT,,W,HXX,LD312000A,H00,0810H,201105,0.74,0.00,0.74,1.18,39.36,41.55,0.00,105.56,117.95,0.00,172.75,1,,L
GHBOA07,12000A-0810H,HALE AIR VEHICLE - PROGRAM MGMT,,W,HXX,LD312000A,H00,0810H,201106,0.74,0.00,0.74,1.28,39.36,41.55,0.00,105.56,117.95,0.00,185.71,1,,L
GHBOA07,12000A-0810H,HALE AIR VEHICLE - PROGRAM MGMT,,W,HXX,LD312000A,H00,0810H,201107,-18.64,0.00,-18.64,0.94,-967.95,-1014.70,0.00,-2465.22,-2722.17,0.00,135.69,1,,L
GHBOA07,12000A-0810H,HALE AIR VEHICLE - PROGRAM MGMT,,W,HXX,LD312000A,H00,0810H,201108,0.78,0.00,0.78,0.78,41.43,41.43,0.00,111.11,111.11,0.00,111.11,1,,L
GHBOA07,12000A-0810H,HALE AIR VEHICLE - PROGRAM MGMT,,W,HXX,LD312000A,H00,0810H,201109,0.78,0.00,0.78,0.78,41.43,41.43,0.00,111.11,111.11,0.00,111.11,1,,L
GHBOA07,12000A-0810H,HALE AIR VEHICLE - PROGRAM MGMT,,W,HXX,LD312000A,H00,0810H,201110,0.98,0.00,0.98,1.20,52.06,52.06,0.00,139.60,139.60,0.00,168.15,1,,L
GHBOA07,12000A-0810H,HALE AIR VEHICLE - PROGRAM MGMT,,W,HXX,LD312000A,H00,0810H,201111,0.70,0.00,0.70,0.80,37.18,37.18,0.00,99.71,99.71,0.00,112.85,1,,L
GHBOA07,12000A-0810H,HALE AIR VEHICLE - PROGRAM MGMT,,W,HXX,LD312000A,H00,0810H,201112,1.37,0.00,1.37,2.63,72.77,72.77,0.00,195.16,195.16,0.00,354.71,1,,L
GHBOA07,12000A-0810H,HALE AIR VEHICLE - PROGRAM MGMT,,W,HXX,LD312000A,H00,0810H,201201,0.00,0.00,0.00,2.63,0.00,0.00,0.00,0.00,0.00,0.00,424.92,1,,L
GHBOA07,520-01HJX1,AV IPT Flight Test Support,,W,HXX,LD352000A,HJX,0819H,201101,20.25,0.00,20.25,0.00,1075.68,1135.42,0.00,2884.60,3223.46,0.00,0.00,1,,L
GHBOA07,520-01HJX1,AV IPT Flight Test Support,,W,HXX,LD352000A,HJX,0819H,201102,16.20,0.00,16.20,0.00,860.54,908.33,0.00,2307.68,2578.76,0.00,0.00,1,,L
GHBOA07,520-01HJX1,AV IPT Flight Test Support,,W,HXX,LD352000A,HJX,0819H,201103,16.20,0.00,16.20,16.20,860.54,908.33,0.00,2307.68,2578.76,0.00,2369.66,1,,L
GHBOA07,520-01HJX1,AV IPT Flight Test Support,,W,HXX,LD352000A,HJX,0819H,201104,20.25,0.00,20.25,0.00,1075.68,1135.42,0.00,2884.60,3223.46,0.00,0.00,1,,L
GHBOA07,520-01HJX1,AV IPT Flight Test Support,,W,HXX,LD352000A,HJX,0819H,201105,15.39,0.00,15.39,0.00,817.52,862.92,0.00,2192.30,2449.83,0.00,26.55,1,,L
GHBOA07,520-01HJX1,AV IPT Flight Test Support,,W,HXX,LD352000A,HJX,0819H,201106,15.39,0.00,15.39,0.00,817.52,862.92,0.00,2192.30,2449.83,0.00,0.00,1,,L
GHBOA07,520-01HJX1,AV IPT Flight Test Support,,W,HXX,LD352000A,HJX,0819H,201107,-387.18,0.00,-387.18,27.44,-20103.50,-21074.46,0.00,-51200.75,-56537.46,0.00,3978.06,1,,L
GHBOA07,520-01HJX1,AV IPT Flight Test Support,,W,HXX,LD352000A,HJX,0819H,201108,29.45,0.00,29.45,0.00,1564.38,1564.38,0.00,4195.14,4195.14,0.00,0.00,1,,L
GHBOA07,520-01HJX1,AV IPT Flight Test Support,,W,HXX,LD352000A,HJX,0819H,201109,44.45,0.00,44.45,0.00,2361.18,2361.18,0.00,6331.89,6331.89,0.00,0.00,1,,L
GHBOA07,520-01HJX1,AV IPT Flight Test Support,,W,HXX,LD352000A,HJX,0819H,201110,28.25,0.00,28.25,0.00,1500.64,1500.64,0.00,4024.20,4024.20,0.00,0.00,1,,L
GHBOA07,520-01HJX1,AV IPT Flight Test Support,,W,HXX,LD352000A,HJX,0819H,201111,25.97,0.00,25.97,24.97,1379.53,1379.53,0.00,3699.42,3699.42,0.00,3513.60,1,,L
GHBOA07,520-01HJX1,AV IPT Flight Test Support,,W,HXX,LD352000A,HJX,0819H,201112,30.74,0.00,30.74,23.19,1632.91,1632.91,0.00,4378.90,4378.90,0.00,3263.13,1,,L
GHBOA07,520-01HJX1,AV IPT Flight Test Support,,W,HXX,LD352000A,HJX,0819H,201201,-127.10,0.00,-127.10,26.72,-7287.91,-7287.91,0.00,-20535.12,-20535.12,0.00,4317.64,1,,L
GHBOA07,520-01HJX1,AV IPT Flight Test Support,,W,HXX,LD352000A,HJX,0819H,201202,31.80,0.00,0.00,32.71,1823.41,0.00,0.00,5137.82,0.00,0.00,5271.31,1,,L
GHBOA07,520-01HJX1,AV IPT Flight Test Support,,W,HXX,LD352000A,HJX,0819H,201203,31.80,0.00,0.00,36.05,1823.41,0.00,0.00,5137.82,0.00,0.00,5808.10,1,,L
GHBOA07,520-01HJX1,AV IPT Flight Test Support,,W,HXX,LD352000A,HJX,0819H,201204,31.80,0.00,0.00,31.21,1823.41,0.00,0.00,5137.82,0.00,0.00,5028.96,1,,L
GHBOA07,520-01HJX1,AV IPT Flight Test Support,,W,HXX,LD352000A,HJX,0819H,201205,31.70,0.00,0.00,30.21,1817.68,0.00,0.00,5121.66,0.00,0.00,4867.39,1,,L
,,,,,,,,,,,,,,,,,,,,,,,
