PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,CA Clin,E
LRIP10,10A40HBX,AV IPT - AF40 Weight & Balance Tests,Block 30,C,HBX,L10A40HBX,HBX,,201305,38.00,0.00,0.00,38.00,2204.76,0.00,0.00,6361.61,0.00,0.00,6271.95,0003,0003,L
LRIP10,10A40HBX,AV IPT - AF40 Weight & Balance Tests,Block 30,C,HBX,L10A40HBX,HBX,,201306,49.62,0.00,0.00,49.62,2878.90,0.00,0.00,8306.77,0.00,0.00,8189.68,0003,0003,L
LRIP10,10A40HBX,AV IPT - AF40 Weight & Balance Tests,Block 30,C,HBX,L10A40HBX,HBX,,201307,30.48,0.00,0.00,30.48,1768.23,0.00,0.00,5102.04,0.00,0.00,5030.13,0003,0003,L
LRIP10,10A40HBX,AV IPT - AF40 Weight & Balance Tests,Block 30,C,HBX,L10A40HBX,HBX,,201308,25.40,0.00,0.00,25.40,1473.52,0.00,0.00,4251.70,0.00,0.00,4191.78,0003,0003,L
LRIP10,10A40HBX,AV IPT - AF40 Weight & Balance Tests,Block 30,C,HBX,L10A40HBX,HBX,,201309,17.12,0.00,0.00,17.12,993.16,0.00,0.00,2865.65,0.00,0.00,2825.26,0003,0003,L
LRIP10,10A40HBX,AV IPT - AF40 Weight & Balance Tests,Block 30,C,HBX,L10A40HBX,HBX,,201310,2.54,0.00,0.00,2.54,147.35,0.00,0.00,425.17,0.00,0.00,419.18,0003,0003,L
LRIP10,10A40HBX,AV IPT - AF40 Weight & Balance Tests,Block 30,C,HBX,L10A40HBX,HBX,,201311,1.83,0.00,0.00,1.83,106.09,0.00,0.00,306.12,0.00,0.00,301.81,0003,0003,L
LRIP10,10A40HBX,AV IPT - AF40 Weight & Balance Tests,Block 30,C,HBX,L10A40HBX,HBX,,201312,1.42,0.00,0.00,1.42,82.52,0.00,0.00,238.10,0.00,0.00,234.74,0003,0003,L
LRIP10,10A40HDX,AV IPT - AF40 Static Proof Test,Block 30,C,HDX,L10A40HDX,HDX,,201202,21.60,0.00,0.00,0.00,1221.91,0.00,0.00,3442.98,0.00,0.00,0.00,0003,0003,L
LRIP10,10A40HDX,AV IPT - AF40 Static Proof Test,Block 30,C,HDX,L10A40HDX,HDX,,201204,21.60,0.00,0.00,21.60,1221.91,0.00,0.00,3442.98,0.00,0.00,3406.16,0003,0003,L
LRIP10,10A40HDX,AV IPT - AF40 Static Proof Test,Block 30,C,HDX,L10A40HDX,HDX,,201207,22.17,0.00,0.00,22.17,1254.16,0.00,0.00,3533.83,0.00,0.00,3496.05,0003,0003,L
LRIP10,10A40HDX,AV IPT - AF40 Static Proof Test,Block 30,C,HDX,L10A40HDX,HDX,,201208,3.12,0.00,0.00,3.12,176.50,0.00,0.00,497.32,0.00,0.00,492.00,0003,0003,L
LRIP10,10A40HDX,AV IPT - AF40 Static Proof Test,Block 30,C,HDX,L10A40HDX,HDX,,201209,2.58,0.00,0.00,2.58,145.95,0.00,0.00,411.24,0.00,0.00,406.85,0003,0003,L
LRIP10,10A40HDX,AV IPT - AF40 Static Proof Test,Block 30,C,HDX,L10A40HDX,HDX,,201210,0.13,0.00,0.00,21.73,7.35,0.00,0.00,20.72,0.00,0.00,3426.66,0003,0003,L
LRIP10,10A40HEX,"AF40 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A40HEX,HEX,,201206,15.00,0.00,0.00,15.00,489.15,0.00,0.00,1821.49,0.00,0.00,1789.50,0003,0003,L
LRIP10,10A40HEX,"AF40 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A40HEX,HEX,,201207,16.90,0.00,0.00,16.90,551.11,0.00,0.00,2052.22,0.00,0.00,2016.17,0003,0003,L
LRIP10,10A40HEX,"AF40 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A40HEX,HEX,,201208,43.70,0.00,0.00,43.70,1425.06,0.00,0.00,5306.62,0.00,0.00,5213.41,0003,0003,L
LRIP10,10A40HEX,"AF40 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A40HEX,HEX,,201209,43.62,0.00,0.00,43.62,1422.45,0.00,0.00,5296.90,0.00,0.00,5203.86,0003,0003,L
LRIP10,10A40HEX,"AF40 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A40HEX,HEX,,201210,101.35,0.00,0.00,101.35,3305.02,0.00,0.00,12307.22,0.00,0.00,12091.04,0003,0003,L
LRIP10,10A40HEX,"AF40 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A40HEX,HEX,,201211,88.13,0.00,0.00,88.13,2873.92,0.00,0.00,10701.88,0.00,0.00,10513.90,0003,0003,L
LRIP10,10A40HEX,"AF40 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A40HEX,HEX,,201212,95.98,0.00,0.00,95.98,3129.91,0.00,0.00,11655.13,0.00,0.00,11450.40,0003,0003,L
LRIP10,10A40HEX,"AF40 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A40HEX,HEX,,201301,425.77,0.00,0.00,425.77,14237.75,0.00,0.00,54151.08,0.00,0.00,52843.14,0003,0003,L
