PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E
LRIP4,GL041100-819H000D,AF 11 AV 20 GL04 FLT ACCPT TST.  LBR SUM,,W,HJB,LGL041100,HJX,819H,201103,0.00,0.00,110.00,0.00,0.00,5843.20,0.00,0.00,16118.52,0.00,0.00,0002,,L
LRIP4,GL041100-819H000A,AF 11 AV 20 GL04 FLT ACCPT TST.  LBR SUM,,W,HJA,LGL041100,HJX,819H,201103,0.00,0.00,31.18,0.00,0.00,1818.63,0.00,0.00,5055.26,0.00,0.00,0002,,L
LRIP4,GL041100-819H000B,AF 11 AV 20 GL04 FLT ACCPT TST.  LBR SUM,,W,HJC,LGL041100,HJX,819H,201103,0.00,0.00,10.40,0.00,0.00,606.21,0.00,0.00,1685.09,0.00,0.00,0002,,L
LRIP4,GL041100-815H00C4,AF 11 AV 20 GL04 FLT ACCPT TST.  LBR SUM,,W,HEX,LGL041100,HEX,815H,201105,0.00,0.00,0.00,47.00,0.00,0.00,0.00,0.00,0.00,0.00,6813.73,0002,,L
LRIP4,GL041100-815H00C4,AF 11 AV 20 GL04 FLT ACCPT TST.  LBR SUM,,W,HEX,LGL041100,HEX,815H,201106,0.00,0.00,0.00,47.00,0.00,0.00,0.00,0.00,0.00,0.00,6695.66,0002,,L
LRIP4,GL041100-815H00C4,AF 11 AV 20 GL04 FLT ACCPT TST.  LBR SUM,,W,HEX,LGL041100,HEX,815H,201107,0.00,0.00,0.00,47.00,0.00,0.00,0.00,0.00,0.00,0.00,6695.66,0002,,L
LRIP4,GL041100-815H00C4,AF 11 AV 20 GL04 FLT ACCPT TST.  LBR SUM,,W,HEX,LGL041100,HEX,815H,201109,0.00,0.00,1.58,0.00,0.00,160.27,0.00,0.00,460.33,0.00,0.00,0002,,L
LRIP4,GL041100-815H00C4,AF 11 AV 20 GL04 FLT ACCPT TST.  LBR SUM,,W,HEX,LGL041100,HEX,815H,201201,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,3231.33,0002,,L
LRIP4,GL041100-815H00C2,AF 11 AV 20 GL04 FLT ACCPT TST.  LBR SUM,,W,HEX,LGL041100,HEX,815H,201101,0.00,0.00,0.00,9.20,0.00,0.00,0.00,0.00,0.00,0.00,1345.73,0002,,L
LRIP4,GL041100-815H00C2,AF 11 AV 20 GL04 FLT ACCPT TST.  LBR SUM,,W,HEX,LGL041100,HEX,815H,201102,0.00,0.00,0.00,9.20,0.00,0.00,0.00,0.00,0.00,0.00,1345.73,0002,,L
LRIP4,GL041100-815H00C2,AF 11 AV 20 GL04 FLT ACCPT TST.  LBR SUM,,W,HEX,LGL041100,HEX,815H,201103,0.00,0.00,0.00,9.20,0.00,0.00,0.00,0.00,0.00,0.00,1345.73,0002,,L
LRIP4,GL041100-815H00C2,AF 11 AV 20 GL04 FLT ACCPT TST.  LBR SUM,,W,HEX,LGL041100,HEX,815H,201104,0.00,0.00,0.00,9.20,0.00,0.00,0.00,0.00,0.00,0.00,1333.75,0002,,L
