PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E
LRIP5,R511010Z-813H00F2,Lot 5 AV SUST. LIAISON ENG. SUPPORT,,W,HDC,TEMPNOV08,HDX,813H,201109,0.00,-582.00,0.00,0.00,0.00,0.00,-24286.86,0.00,0.00,-64180.33,0.00,0010,,L
LRIP5,R512MPT,MAKE PART TRANSFER,,W,H00,ALLOCATION,H00,,201101,0.00,11.00,0.00,0.00,0.00,0.00,755.70,0.00,0.00,2680.98,0.00,ALL,,L
LRIP5,R512MPT,MAKE PART TRANSFER,,W,H00,ALLOCATION,H00,,201102,0.00,-187.93,0.00,0.00,0.00,0.00,-6650.81,0.00,0.00,-23594.94,0.00,ALL,,L
LRIP5,R512MPT,MAKE PART TRANSFER,,W,H00,ALLOCATION,H00,,201103,0.00,96.39,0.00,0.00,0.00,0.00,-3755.72,0.00,0.00,-13324.09,0.00,ALL,,L
LRIP5,R512MPT,MAKE PART TRANSFER,,W,H00,ALLOCATION,H00,,201104,0.00,90.80,0.00,0.00,0.00,0.00,-5098.22,0.00,0.00,-18086.85,0.00,ALL,,L
LRIP5,R512MPT,MAKE PART TRANSFER,,W,H00,ALLOCATION,H00,,201105,0.00,20.35,0.00,0.00,0.00,0.00,-3367.81,0.00,0.00,-11947.91,0.00,ALL,,L
LRIP5,R512MPT,MAKE PART TRANSFER,,W,H00,ALLOCATION,H00,,201106,0.00,-19.65,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,-0.18,0.00,ALL,,L
LRIP5,R512MPT,MAKE PART TRANSFER,,W,H00,ALLOCATION,H00,,201107,0.00,-0.36,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,-0.18,0.00,ALL,,L
LRIP5,R512MPT,MAKE PART TRANSFER,,W,H00,ALLOCATION,H00,,201108,0.00,-67.06,0.00,0.00,0.00,0.00,-108.22,0.00,0.00,-383.93,0.00,ALL,,L
LRIP5,R512MPT,MAKE PART TRANSFER,,W,H00,ALLOCATION,H00,,201109,0.00,84.79,0.00,0.00,0.00,0.00,606.37,0.00,0.00,2151.21,0.00,ALL,,L
LRIP5,R512MPT,MAKE PART TRANSFER,,W,H00,ALLOCATION,H00,,201110,0.00,-17.37,0.00,0.00,0.00,0.00,-171.11,0.00,0.00,-607.04,0.00,ALL,,L
LRIP5,R512MPT,MAKE PART TRANSFER,,W,H00,ALLOCATION,H00,,201111,0.00,0.00,0.00,0.00,0.00,0.00,-53.12,0.00,0.00,-188.45,0.00,ALL,,L
LRIP5,R512ALLOC,AMC FABRICATION ALLOCATIONS,,W,H00,ALLOCATION,H00,2B41,201101,0.00,0.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,6567.97,ALL,,L
LRIP5,R512ALLOC,AMC FABRICATION ALLOCATIONS,,W,H00,ALLOCATION,H00,2B41,201102,0.00,351.55,0.00,26.99,0.00,0.00,12654.23,0.00,0.00,44893.14,3693.27,ALL,,L
LRIP5,R512ALLOC,AMC FABRICATION ALLOCATIONS,,W,H00,ALLOCATION,H00,2B41,201104,0.00,0.19,0.00,0.00,0.00,0.00,7.28,0.00,0.00,25.83,0.00,ALL,,L
LRIP5,R512151Z-3J4A000Z,MP-RTIP CAPABILITY INTO AF18 (NRE),,W,HEX,LR512151Z,HEX,3J4A,201102,0.00,0.00,0.30,0.00,0.00,15.17,0.00,0.00,41.12,0.00,0.00,0014,,L
LRIP5,R5121D0Z-2P6C,Lot 5 TOOLING IPT PROJECT SUPPORT EL SEG,,W,HHX,LR511OTPC,HHX,2P6C,201104,0.00,-2.50,0.00,0.00,0.00,0.00,-97.33,0.00,0.00,-345.30,0.00,0014,,L
LRIP5,R5121D0Z-2P6E,TOOLING SUPPORT (CANCELLED),,W,HHX,LR511OTPC,HHX,2P6E,201104,0.00,-2.00,0.00,0.00,0.00,0.00,-69.14,0.00,0.00,-245.29,0.00,0014,,L
LRIP5,R5121D0Z-4P6B,TOOLING FABRICATION/ PROJECT SUPPORT,,W,HHX,LR511OTPC,HHX,4P6B,201104,0.00,4.50,0.00,0.00,0.00,0.00,166.47,0.00,0.00,590.58,0.00,0014,,L
LRIP5,R512230W-813H00F1,AF15 STATIC PROOF TEST WING,,W,HDX,LR512230W,HDX,813H,201109,0.00,59.00,0.00,0.00,0.00,0.00,2462.07,0.00,0.00,6506.25,0.00,0016,,L
LRIP5,R512230W-813H00F2,AF15 STATIC PROOF TEST AFT FUSELAGE,,W,HDX,LR512230W,HDX,813H,201109,0.00,73.00,0.00,0.00,0.00,0.00,3046.29,0.00,0.00,8050.11,0.00,0016,,L
LRIP5,R512231W-813H00F1,AF16 STATIC PROOF TEST WING,,W,HDX,LR512231W,HDX,813H,201109,0.00,59.00,0.00,0.00,0.00,0.00,2462.07,0.00,0.00,6506.25,0.00,0017,,L
LRIP5,R512231F-813H00F2,AF16 STATIC PROOF TEST AFT FUSELAGE,,W,HDX,LR512231F,HDX,813H,201109,0.00,65.00,0.00,0.00,0.00,0.00,2712.45,0.00,0.00,7167.91,0.00,0017,,L
LRIP5,R512231V-813H00F2,AF16 STATIC PROOF TEST V-TAIL,,W,HDX,LR512231V,HDX,813H,201109,0.00,65.00,0.00,0.00,0.00,0.00,2712.45,0.00,0.00,7167.91,0.00,0017,,L
