PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,CACLIN,E
LRIP7,R720583R-4A1G0030,CR 20583 KN-4074 INS/GPS Startup,,W,HHX,LR720583R,HHX,4A1G,201105,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.97,,0031,L
LRIP7,R720583R-4A1G0030,CR 20583 KN-4074 INS/GPS Startup,,W,HHX,LR720583R,HHX,4A1G,201108,0.00,1.50,0.00,1.50,0.00,0.00,54.23,0.00,0.00,192.39,185.62,,0031,L
LRIP7,R720583R-4A1G0030,CR 20583 KN-4074 INS/GPS Startup,,W,HHX,LR720583R,HHX,4A1G,201110,0.00,0.00,0.00,27.50,0.00,0.00,0.00,0.00,0.00,0.00,3403.01,,0031,L
LRIP7,R720583R-4A1G0030,CR 20583 KN-4074 INS/GPS Startup,,W,HHX,LR720583R,HHX,4A1G,201112,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0031,L
LRIP7,R720583R-4A1G0030,CR 20583 KN-4074 INS/GPS Startup,,W,HHX,LR720583R,HHX,4A1G,201201,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0031,L
LRIP7,R720583R-4A1G0030,CR 20583 KN-4074 INS/GPS Startup,,W,HHX,LR720583R,HHX,4A1G,201202,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,1539.32,,0031,L
LRIP7,R720583R-4A1G0030,CR 20583 KN-4074 INS/GPS Startup,,W,HHX,LR720583R,HHX,4A1G,201203,0.00,0.00,0.00,27.50,0.00,0.00,0.00,0.00,0.00,0.00,3280.75,,0031,L
LRIP7,R720583R-4J4G0030,CR 20583 KN-4074 INS/GPS Startup,,W,HHX,LR720583R,HHX,4J4G,201110,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,475.18,,0031,L
LRIP7,R720583R-4J4G0030,CR 20583 KN-4074 INS/GPS Startup,,W,HHX,LR720583R,HHX,4J4G,201112,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0031,L
LRIP7,R720583R-4J4G0030,CR 20583 KN-4074 INS/GPS Startup,,W,HHX,LR720583R,HHX,4J4G,201202,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,552.20,,0031,L
