PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,CACLIN,E
LRIP8B,R811010Z-3J470030,AV SUST- ME- COMPOSITE SYSTEMS,,W,HDX,LR811010Z,HDX,3J47,201101,389.00,233.40,389.00,233.40,17458.32,17458.32,10713.79,67444.03,67444.03,38009.08,40466.42,,0017,L
LRIP8B,R811010Z-3J470030,AV SUST- ME- COMPOSITE SYSTEMS,,W,HDX,LR811010Z,HDX,3J47,201102,325.00,366.80,325.00,407.80,14586.00,14586.00,16456.52,56347.84,56347.84,58382.44,70703.54,,0017,L
LRIP8B,R811010Z-3J470030,AV SUST- ME- COMPOSITE SYSTEMS,,W,HDX,LR811010Z,HDX,3J47,201103,0.00,5.30,0.00,10.40,0.00,0.00,270.46,0.00,0.00,959.51,1803.13,,0017,L
LRIP8B,R811010Z-3J470030,AV SUST- ME- COMPOSITE SYSTEMS,,W,HDX,LR811010Z,HDX,3J47,201108,0.00,158.51,0.00,0.00,0.00,0.00,10980.45,0.00,0.00,38955.11,0.00,,0017,L
LRIP8B,R811010Z-3J480030,"SUSTAINING, EQUIP INTALL IPT, MFG ENG",,W,HEX,LR811010Z,HEX,3J4M,201101,153.60,136.50,153.60,136.50,6893.57,6893.57,5228.49,26630.86,26630.86,18549.00,23666.09,,0017,L
LRIP8B,R811010Z-3J480030,"SUSTAINING, EQUIP INTALL IPT, MFG ENG",,W,HEX,LR811010Z,HEX,3J4M,201102,128.00,102.30,128.00,102.30,5744.64,5744.64,4014.72,22192.38,22192.38,14242.94,17736.57,,0017,L
LRIP8B,R811010Z-3J480030,"SUSTAINING, EQUIP INTALL IPT, MFG ENG",,W,HEX,LR811010Z,HEX,3J4M,201103,0.00,4.00,0.00,1.00,0.00,0.00,163.25,0.00,0.00,579.16,173.38,,0017,L
LRIP8B,R811010Z-3J480030,"SUSTAINING, EQUIP INTALL IPT, MFG ENG",,W,HEX,LR811010Z,HEX,3J4M,201104,0.00,2.00,0.00,0.00,0.00,0.00,93.04,0.00,0.00,330.08,0.00,,0017,L
LRIP8B,R811010Z-3J480030,"SUSTAINING, EQUIP INTALL IPT, MFG ENG",,W,HEX,LR811010Z,HEX,3J4M,201108,0.00,27.50,0.00,0.00,0.00,0.00,739.20,0.00,0.00,2622.44,0.00,,0017,L
LRIP8B,R811010Z-3J480030,"SUSTAINING, EQUIP INTALL IPT, MFG ENG",,W,HEX,LR811010Z,HEX,3J4M,201201,0.00,1.00,0.00,0.00,0.00,0.00,46.52,0.00,0.00,170.19,0.00,,0017,L
LRIP8B,R811010Z-3J480030,"SUSTAINING, EQUIP INTALL IPT, MFG ENG",,W,HEX,LR811010Z,HEX,3J4M,201202,0.00,0.50,0.00,0.00,0.00,0.00,25.03,0.00,0.00,69.77,0.00,,0017,L
LRIP8B,R811010Z-3J4M0030,AV SUST- ME SUPPORT,,W,HHX,LR811010Z,HHX,3J4M,201101,288.00,167.50,288.00,167.50,12767.04,12767.04,6856.54,49320.94,49320.94,24324.80,28684.92,,0017,L
LRIP8B,R811010Z-3J4M0030,AV SUST- ME SUPPORT,,W,HHX,LR811010Z,HHX,3J4M,201102,240.00,114.50,240.00,114.50,10639.20,10639.20,4538.81,41100.78,41100.78,16102.24,19608.50,,0017,L
LRIP8B,R811010Z-3J4M0030,AV SUST- ME SUPPORT,,W,HHX,LR811010Z,HHX,3J4M,201103,0.00,2.00,0.00,2.00,0.00,0.00,98.58,0.00,0.00,349.73,342.51,,0017,L
LRIP8B,R811010Z-3J4M0030,AV SUST- ME SUPPORT,,W,HHX,LR811010Z,HHX,3J4M,201110,0.00,679.50,0.00,0.00,0.00,0.00,27105.26,0.00,0.00,96160.75,0.00,,0017,L
LRIP8B,R811010Z-3M1G0030,AV SUST- MFG LABOR,,W,HHX,LR811010Z,HHX,3M1G,201101,38.40,15.00,38.40,15.00,1288.70,1288.70,450.75,4978.45,4978.45,1599.12,1944.71,,0017,L
LRIP8B,R811010Z-3M1G0030,AV SUST- MFG LABOR,,W,HHX,LR811010Z,HHX,3M1G,201102,32.00,24.70,32.00,24.70,1073.92,1073.92,424.84,4148.71,4148.71,1507.20,3202.29,,0017,L
