PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,CACLIN,E
LRIP9P,R9ASIHEX-818H,ASIP InLine Sect 1100 Support- Labor,A InLine,W,HEX,LR9ASIHEX,HEX,818H,201201,68.65,0.00,0.00,0.00,3936.46,0.00,0.00,11091.73,0.00,0.00,0.00,0001,,L
LRIP9P,R9ASIHEX-818H,ASIP InLine Sect 1100 Support- Labor,A InLine,W,HEX,LR9ASIHEX,HEX,818H,201202,68.65,0.00,0.00,0.00,3936.46,0.00,0.00,11091.73,0.00,0.00,0.00,0001,,L
LRIP9P,R9ASIHEX-818H,ASIP InLine Sect 1100 Support- Labor,A InLine,W,HEX,LR9ASIHEX,HEX,818H,201203,85.81,0.00,0.00,73.31,4920.56,0.00,0.00,13864.65,0.00,0.00,11560.65,0001,,L
LRIP9P,R9ASIHEX-818H,ASIP InLine Sect 1100 Support- Labor,A InLine,W,HEX,LR9ASIHEX,HEX,818H,201204,68.65,0.00,0.00,58.65,3936.46,0.00,0.00,11091.73,0.00,0.00,9248.52,0001,,L
LRIP9P,R9ASIHEX-818H,ASIP InLine Sect 1100 Support- Labor,A InLine,W,HEX,LR9ASIHEX,HEX,818H,201205,68.65,0.00,0.00,58.65,3936.46,0.00,0.00,11091.73,0.00,0.00,9248.52,0001,,L
LRIP9P,R9ASIHEX-818H,ASIP InLine Sect 1100 Support- Labor,A InLine,W,HEX,LR9ASIHEX,HEX,818H,201206,82.38,0.00,0.00,70.38,4723.75,0.00,0.00,13310.08,0.00,0.00,11098.23,0001,,L
LRIP9P,R9ASIHEX-818H,ASIP InLine Sect 1100 Support- Labor,A InLine,W,HEX,LR9ASIHEX,HEX,818H,201207,0.00,0.00,0.00,52.78,0.00,0.00,0.00,0.00,0.00,0.00,8323.65,0001,,L
LRIP9P,R9ASIHEX-818H,ASIP InLine Sect 1100 Support- Labor,A InLine,W,HEX,LR9ASIHEX,HEX,818H,201208,0.00,0.00,0.00,58.65,0.00,0.00,0.00,0.00,0.00,0.00,9248.52,0001,,L
LRIP9P,R9ASIHEX-818H,ASIP InLine Sect 1100 Support- Labor,A InLine,W,HEX,LR9ASIHEX,HEX,818H,201209,0.00,0.00,0.00,70.38,0.00,0.00,0.00,0.00,0.00,0.00,11098.23,0001,,L
LRIP9P,R9ASIHJX-819H,ASIP InLine Flight Test Supt -Labor,A InLine,W,HJX,LR9ASIHJX,HJX,819H,201203,3.09,0.00,0.00,0.00,177.35,0.00,0.00,499.71,0.00,0.00,0.46,0001,,L
LRIP9P,R9ASIHJX-819H,ASIP InLine Flight Test Supt -Labor,A InLine,W,HJX,LR9ASIHJX,HJX,819H,201204,20.62,0.00,0.00,20.62,1182.36,0.00,0.00,3331.53,0.00,0.00,3251.65,0001,,L
LRIP9P,R9ASIHJX-819H,ASIP InLine Flight Test Supt -Labor,A InLine,W,HJX,LR9ASIHJX,HJX,819H,201205,20.62,0.00,0.00,20.62,1182.36,0.00,0.00,3331.53,0.00,0.00,3251.65,0001,,L
LRIP9P,R9ASIHJX-819H,ASIP InLine Flight Test Supt -Labor,A InLine,W,HJX,LR9ASIHJX,HJX,819H,201206,24.74,0.00,0.00,24.74,1418.82,0.00,0.00,3997.81,0.00,0.00,3901.96,0001,,L
LRIP9P,R9ASIHJX-819H,ASIP InLine Flight Test Supt -Labor,A InLine,W,HJX,LR9ASIHJX,HJX,819H,201207,18.56,0.00,0.00,21.65,1064.13,0.00,0.00,2998.39,0.00,0.00,3413.76,0001,,L
LRIP9P,R9ASIHJX-819H,ASIP InLine Flight Test Supt -Labor,A InLine,W,HJX,LR9ASIHJX,HJX,819H,201208,20.62,0.00,0.00,20.62,1182.36,0.00,0.00,3331.53,0.00,0.00,3251.65,0001,,L
LRIP9P,R9ASIHJX-819H,ASIP InLine Flight Test Supt -Labor,A InLine,W,HJX,LR9ASIHJX,HJX,819H,201209,24.74,0.00,0.00,24.74,1418.82,0.00,0.00,3997.81,0.00,0.00,3901.96,0001,,L
LRIP9P,R9A01HHX-4A1G,ASIP InLine 01 FT/Installation/Fuel Ops Spt,A InLine,W,HHX,LR9A01HHX,HHX,4A1G,201203,0.00,0.00,0.00,425.10,0.00,0.00,0.00,0.00,0.00,0.00,50714.38,0001,,L
LRIP9P,R9A01HHX-4A1G,ASIP InLine 01 FT/Installation/Fuel Ops Spt,A InLine,W,HHX,LR9A01HHX,HHX,4A1G,201204,425.10,0.00,0.00,519.58,14058.06,0.00,0.00,52349.29,0.00,0.00,61985.84,0001,,L
LRIP9P,R9A01HHX-4A1G,ASIP InLine 01 FT/Installation/Fuel Ops Spt,A InLine,W,HHX,LR9A01HHX,HHX,4A1G,201205,519.58,0.00,0.00,165.32,17182.51,0.00,0.00,63984.10,0.00,0.00,19722.66,0001,,L
LRIP9P,R9A01HHX-4A1G,ASIP InLine 01 FT/Installation/Fuel Ops Spt,A InLine,W,HHX,LR9A01HHX,HHX,4A1G,201206,165.32,0.00,0.00,0.00,5467.13,0.00,0.00,20358.47,0.00,0.00,0.00,0001,,L
LRIP9P,R9A02HHX-4A1G,ASIP InLine 02 FT/Installation/Fuel Ops Spt,A InLine,W,HHX,LR9A02HHX,HHX,4A1G,201207,304.35,0.00,0.00,304.35,10064.85,0.00,0.00,37479.43,0.00,0.00,36308.92,0001,,L
LRIP9P,R9A02HHX-4A1G,ASIP InLine 02 FT/Installation/Fuel Ops Spt,A InLine,W,HHX,LR9A02HHX,HHX,4A1G,201208,411.78,0.00,0.00,411.78,13617.56,0.00,0.00,50708.98,0.00,0.00,49125.31,0001,,L
LRIP9P,R9A02HHX-4A1G,ASIP InLine 02 FT/Installation/Fuel Ops Spt,A InLine,W,HHX,LR9A02HHX,HHX,4A1G,201209,340.17,0.00,0.00,340.17,11249.42,0.00,0.00,41890.51,0.00,0.00,40582.24,0001,,L
LRIP9P,R9A02HHX-4A1G,ASIP InLine 02 FT/Installation/Fuel Ops Spt,A InLine,W,HHX,LR9A02HHX,HHX,4A1G,201210,53.72,0.00,0.00,53.72,1776.52,0.00,0.00,6615.39,0.00,0.00,6408.79,0001,,L
LRIP9P,R9ASIHBX-811H,ASIP InLine Weights & Measurements,A InLine,W,HBX,LR9ASIHBX,HBX,811H,201110,11.00,0.00,0.00,11.00,584.32,0.00,0.00,1567.07,0.00,0.00,1547.84,0001,,L
LRIP9P,R9A03HHX-4A1G,ASIP Retrofit 03 Sensor Install,A Retrofit,W,HHX,LR9A03HHX,HHX,4A1G,201211,230.00,0.00,0.00,0.00,7606.10,0.00,0.00,28323.54,0.00,0.00,0.00,0003,,L
LRIP9P,R9A03HHX-4A1G,ASIP Retrofit 03 Sensor Install,A Retrofit,W,HHX,LR9A03HHX,HHX,4A1G,201302,0.00,0.00,0.00,230.00,0.00,0.00,0.00,0.00,0.00,0.00,28545.75,0003,,L
LRIP9P,R9A03HHX-4A1G,ASIP Retrofit 03 Sensor Install,A Retrofit,W,HHX,LR9A03HHX,HHX,4A1G,201403,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0003,,L
LRIP9P,R9A04HHX-4A1G,ASIP Retrofit 04 Sensor Install,A Retrofit,W,HHX,LR9A04HHX,HHX,4A1G,201303,230.00,0.00,0.00,230.00,7898.20,0.00,0.00,30039.59,0.00,0.00,28545.75,0004,,L
LRIP9P,R9A04HHX-4A1G,ASIP Retrofit 04 Sensor Install,A Retrofit,W,HHX,LR9A04HHX,HHX,4A1G,201410,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0004,,L
LRIP9P,R9A05HHX-4A1G,ASIP Retrofit 05 Sensor Install,A Retrofit,W,HHX,LR9A05HHX,HHX,4A1G,201304,138.00,0.00,0.00,138.00,4738.92,0.00,0.00,18023.75,0.00,0.00,17127.45,0005,,L
LRIP9P,R9A05HHX-4A1G,ASIP Retrofit 05 Sensor Install,A Retrofit,W,HHX,LR9A05HHX,HHX,4A1G,201305,92.00,0.00,0.00,92.00,3159.28,0.00,0.00,12015.83,0.00,0.00,11418.30,0005,,L
LRIP9P,R9A05HHX-4A1G,ASIP Retrofit 05 Sensor Install,A Retrofit,W,HHX,LR9A05HHX,HHX,4A1G,201411,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0005,,L
LRIP9P,R9RTPHJX-819H,MP-RTIP AV Flight Test Supt -Labor,MP-RTIP,W,HJX,LR9RTPHJX,HJX,819H,201304,2.49,0.00,0.00,2.49,148.31,0.00,0.00,427.94,0.00,0.00,411.07,0006,,L
LRIP9P,R9RTPHJX-819H,MP-RTIP AV Flight Test Supt -Labor,MP-RTIP,W,HJX,LR9RTPHJX,HJX,819H,201305,15.77,0.00,0.00,15.77,939.31,0.00,0.00,2710.28,0.00,0.00,2603.44,0006,,L
LRIP9P,R9RTPHJX-819H,MP-RTIP AV Flight Test Supt -Labor,MP-RTIP,W,HJX,LR9RTPHJX,HJX,819H,201306,16.60,0.00,0.00,16.60,988.75,0.00,0.00,2852.93,0.00,0.00,2740.46,0006,,L
LRIP9P,R9RTPHJX-819H,MP-RTIP AV Flight Test Supt -Labor,MP-RTIP,W,HJX,LR9RTPHJX,HJX,819H,201307,19.92,0.00,0.00,19.92,1186.49,0.00,0.00,3423.51,0.00,0.00,3288.56,0006,,L
LRIP9P,R9RTPHJX-819H,MP-RTIP AV Flight Test Supt -Labor,MP-RTIP,W,HJX,LR9RTPHJX,HJX,819H,201308,16.60,0.00,0.00,16.60,988.75,0.00,0.00,2852.93,0.00,0.00,2740.46,0006,,L
LRIP9P,R9RTPHJX-819H,MP-RTIP AV Flight Test Supt -Labor,MP-RTIP,W,HJX,LR9RTPHJX,HJX,819H,201309,15.77,0.00,0.00,15.77,939.31,0.00,0.00,2710.28,0.00,0.00,2603.44,0006,,L
LRIP9P,R9RTPHJX-819H,MP-RTIP AV Flight Test Supt -Labor,MP-RTIP,W,HJX,LR9RTPHJX,HJX,819H,201310,0.83,0.00,0.00,0.83,49.44,0.00,0.00,142.65,0.00,0.00,137.02,0006,,L
LRIP9P,R9RTPHEX-818H,MP-RTIP Section 1100 Supt -Labor,MP-RTIP,W,HEX,LR9RTPHEX,HEX,818H,201301,76.92,0.00,0.00,0.00,4580.55,0.00,0.00,13216.70,0.00,0.00,0.00,0006,,L
LRIP9P,R9RTPHEX-818H,MP-RTIP Section 1100 Supt -Labor,MP-RTIP,W,HEX,LR9RTPHEX,HEX,818H,201302,66.89,0.00,0.00,0.00,3983.09,0.00,0.00,11492.81,0.00,0.00,0.00,0006,,L
LRIP9P,R9RTPHEX-818H,MP-RTIP Section 1100 Supt -Labor,MP-RTIP,W,HEX,LR9RTPHEX,HEX,818H,201303,66.89,0.00,0.00,0.00,3983.09,0.00,0.00,11492.81,0.00,0.00,0.00,0006,,L
