PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E
LRIPOC,R8213965-818H0030,AV IPT - Flight Test Support,LR8 DMS,W,HEX,LR8213965,HEX,818H,201101,8.00,0.00,0.00,8.00,442.64,0.00,0.00,1212.37,0.00,0.00,1170.20,,,L
LRIPOC,R8213965-818H0030,AV IPT - Flight Test Support,LR8 DMS,W,HEX,LR8213965,HEX,818H,201102,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,1170.20,,,L
LRIPOC,R8213965-818H0030,AV IPT - Flight Test Support,LR8 DMS,W,HEX,LR8213965,HEX,818H,201106,8.20,0.00,0.00,8.20,453.71,0.00,0.00,1242.68,0.00,0.00,1168.18,,,L
LRIPOC,R8213965-818H0030,AV IPT - Flight Test Support,LR8 DMS,W,HEX,LR8213965,HEX,818H,201107,0.00,0.00,0.00,8.20,0.00,0.00,0.00,0.00,0.00,0.00,1168.18,,,L
LRIPOC,R8213965-819H0030,AV IPT - Flight Test Support,LR8 DMS,W,HJX,LR8213965,HJX,819H,201102,35.00,0.00,0.00,0.00,1936.55,0.00,0.00,5304.12,0.00,0.00,0.00,,,L
LRIPOC,R8213965-819H0030,AV IPT - Flight Test Support,LR8 DMS,W,HJX,LR8213965,HJX,819H,201104,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.57,,,L
LRIPOC,R8213965-819H0030,AV IPT - Flight Test Support,LR8 DMS,W,HJX,LR8213965,HJX,819H,201106,30.70,0.00,0.00,0.00,1698.63,0.00,0.00,4652.47,0.00,0.00,0.00,,,L
LRIPOC,R8213965-819H0030,AV IPT - Flight Test Support,LR8 DMS,W,HJX,LR8213965,HJX,819H,201109,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,4700.84,,,L
LRIPOC,R8213965-819H0030,AV IPT - Flight Test Support,LR8 DMS,W,HJX,LR8213965,HJX,819H,201111,0.00,0.00,35.00,16.30,0.00,1936.55,0.00,0.00,5304.12,0.00,2293.62,,,L
LRIPOC,R8213965-819H0030,AV IPT - Flight Test Support,LR8 DMS,W,HJX,LR8213965,HJX,819H,201112,0.00,0.00,0.00,16.40,0.00,0.00,0.00,0.00,0.00,0.00,2307.69,,,L
LRIPOC,R8213965-819H0030,AV IPT - Flight Test Support,LR8 DMS,W,HJX,LR8213965,HJX,819H,201201,0.00,1.50,30.70,16.40,0.00,1698.63,106.62,0.00,4652.47,297.21,2649.69,,,L
LRIPOC,R8213965-819H0030,AV IPT - Flight Test Support,LR8 DMS,W,HJX,LR8213965,HJX,819H,201202,0.00,0.00,0.00,14.90,0.00,0.00,0.00,0.00,0.00,0.00,2375.02,,,L
LRIPOC,R8213965-819H0030,AV IPT - Flight Test Support,LR8 DMS,W,HJX,LR8213965,HJX,819H,201203,0.00,0.00,0.00,14.90,0.00,0.00,0.00,0.00,0.00,0.00,2349.62,,,L
LRIPOC,C8MX33AA-4A1G0030,GH PRODUCTION,LOT 8,W,HHX,LC8MX33AA,HHX,4A1G,201110,0.00,80.60,0.00,0.00,0.00,0.00,2847.27,0.00,0.00,10101.20,0.00,,0033AA,L
LRIPOC,C8MX33AA-4A1G0030,GH PRODUCTION,LOT 8,W,HHX,LC8MX33AA,HHX,4A1G,201112,534.34,83.80,0.00,83.34,18589.69,0.00,2844.34,70644.53,0.00,10090.80,9709.49,,0033AA,L
LRIPOC,C8MX33AA-4A1G0030,GH PRODUCTION,LOT 8,W,HHX,LC8MX33AA,HHX,4A1G,201201,0.00,0.00,0.00,451.00,0.00,0.00,0.00,0.00,0.00,0.00,55538.76,,0033AA,L
LRIPOC,C8MX33AA-4D310030,PRODUCTION PLANNING & SUPPORT,LOT 8,W,HHX,LC8MX33AA,HHX,4D31,201110,0.00,1.30,0.00,0.00,0.00,0.00,44.23,0.00,0.00,156.91,0.00,,0033AA,L
LRIPOC,C8MX33AA-4D310030,PRODUCTION PLANNING & SUPPORT,LOT 8,W,HHX,LC8MX33AA,HHX,4D31,201112,10.20,1.00,10.20,10.20,492.97,492.97,34.02,1873.37,1873.37,120.69,1607.15,,0033AA,L
LRIPOC,C8MX33AA-4D310030,PRODUCTION PLANNING & SUPPORT,LOT 8,W,HHX,LC8MX33AA,HHX,4D31,201201,0.00,1.00,0.00,7.70,0.00,0.00,34.02,0.00,0.00,124.46,1417.32,,0033AA,L
LRIPOC,C8MX33AA-811H0030,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,LOT 8,W,HBX,LC8MX33AA,HBX,811H,201112,7.00,0.00,7.00,7.00,387.31,387.31,0.00,1060.82,1060.82,0.00,984.99,,0033AA,L
LRIPOC,C8MX33AA-811H0030,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,LOT 8,W,HBX,LC8MX33AA,HBX,811H,201201,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,1130.97,,0033AA,L
LRIPOC,C8MX33AA-811H0030,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,LOT 8,W,HBX,LC8MX33AA,HBX,811H,201202,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,1115.78,,0033AA,L
LRIPOC,C8MX33AA-811H0030,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,LOT 8,W,HBX,LC8MX33AA,HBX,811H,201203,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,1103.85,,0033AA,L
LRIPOC,C8MX33AA-815H0030,HALE AIR VEHICLE SUBSYSTEM LRU'S - ENG,LOT 8,W,HEX,LC8MX33AA,HEX,815H,201112,39.95,0.00,0.00,39.95,2210.43,0.00,0.00,6054.28,0.00,0.00,5621.48,,0033AA,L
LRIPOC,C8MX33AA-816H0030,HALE AIR VEHICLE PRODUCTION - ENG,LOT 8,W,HHX,LC8MX33AA,HHX,816H,201112,28.95,0.00,28.95,0.00,1601.80,1601.80,0.00,4387.27,4387.27,0.00,0.00,,0033AA,L
