//ID,YEARMO,HRS
1,200101,192
2,200102,160
3,200103,160
4,200104,160
5,200105,192
6,200106,160
7,200107,152
8,200108,200
9,200109,152
10,200110,200
11,200111,144
12,200112,120
13,200201,184
14,200202,160
15,200203,160
16,200204,160
17,200205,192
18,200206,160
19,200207,192
20,200208,160
21,200209,152
22,200210,200
23,200211,144
24,200212,128
25,200301,176
26,200302,160
27,200303,160
28,200304,200
29,200305,152
30,200306,160
31,200307,192
32,200308,160
33,200309,152
34,200310,200
35,200311,144
36,200312,136
37,200401,160
38,200402,160
39,200403,200
40,200404,160
41,200405,160
42,200406,192
43,200407,152
44,200408,160
45,200409,192
46,200410,160
47,200411,144
48,200412,152
49,200501,152
50,200502,160
51,200503,200
52,200504,160
53,200505,160
54,200506,184
55,200507,152
56,200508,200
57,200509,152
58,200510,160
59,200511,184
60,200512,120
61,200601,152
62,200602,160
63,200603,200
64,200604,160
65,200605,192
66,200606,160
67,200607,144
68,200608,200
69,200609,152
70,200610,160
71,200611,184
72,200612,120
73,200701,192
74,200702,160
75,200703,160
76,200704,160
77,200705,192
78,200706,160
79,200707,152
80,200708,200
81,200709,152
82,200710,200
83,200711,144
84,200712,120
85,200801,184
86,200802,160
87,200803,160
88,200804,200
89,200805,152
90,200806,160
91,200807,192
92,200808,160
93,200809,152
94,200810,200
95,200811,144
96,200812,136
97,200901,160
98,200902,160
99,200903,160
100,200904,200
101,200905,152
102,200906,160
103,200907,192
104,200908,160
105,200909,152
106,200910,200
107,200911,144
108,200912,144
109,201001,196
110,201002,160
111,201003,160
112,201004,204
113,201005,151
114,201006,152
115,201007,187
116,201008,160
117,201009,151
118,201010,204
119,201011,151
120,201012,116
121,201101,151
122,201102,160
123,201103,196
124,201104,160
125,201105,160
126,201106,187
127,201107,151
128,201108,160
129,201109,187
130,201110,160
131,201111,151
132,201112,160
133,201201,160
134,201202,160
135,201203,196
136,201204,160
137,201205,160
138,201206,195
139,201207,142
140,201208,160
141,201209,187
142,201210,160
143,201211,151
144,201212,160
145,201301,178
146,201302,160
147,201303,160
148,201304,204
149,201305,151
150,201306,160
151,201307,187
152,201308,160
153,201309,151
154,201310,204
155,201311,143
156,201312,125
157,201401,169
158,201402,160
159,201403,160
160,201404,204
161,201405,151
162,201406,160
163,201407,196
164,201408,160
165,201409,151
166,201410,204
167,201411,143
168,201412,134
169,201501,160
170,201502,160
171,201503,160
172,201504,204
173,201505,151
174,201506,160
175,201507,196
176,201508,160
177,201509,151
178,201510,204
179,201511,143
180,201512,143
181,201601,160
182,201602,160
183,201603,204
184,201604,160
185,201605,160
186,201606,187
187,201607,151
188,201608,160
189,201609,195
190,201610,160
191,201611,143
192,201612,160
193,201701,151
194,201702,160
195,201703,204
196,201704,160
197,201705,160
198,201706,187
199,201707,151
200,201708,160
201,201709,195
202,201710,160
203,201711,143
204,201712,160
