PROJECT,"WBS ID",DESCRIPTION,ALIAS,E,CAM,"CHARGE #",RESP,PERF,YYYYMM,"BCWS HRS/UTS","ACT HRS/UTS","BCWP HRS/UTS","ETC HRS/UTS","BCWS PRIME","BCWP PRIME","ACT PRIME","BCWS T DLRS","BCWP T DLRS","ACT T DLRS","ETC T DLRS",CLIN,XREF-4,E
EMDLBRF,121-06HBD1,"ASIP DESIGN ANALY & DEV TESTS-LBR",SUST,W,HBD,LX806HBD1,HBX,0811H,201101,0,0,0,10,0,0,0,0,0,0,1462.75048116748,0006,,L
EMDLBRF,121-06HBD1,"ASIP DESIGN ANALY & DEV TESTS-LBR",SUST,W,HBD,LX806HBD1,HBX,0811H,201102,0,0,0,10,0,0,0,0,0,0,1462.75048116748,0006,,L
EMDLBRF,121-06HBD1,"ASIP DESIGN ANALY & DEV TESTS-LBR",SUST,W,HBD,LX806HBD1,HBX,0811H,201103,0,1,0,10,0,0,71.6,0,0,189.209801687924,1462.75048116748,0006,,L
EMDLBRF,121-06HBD1,"ASIP DESIGN ANALY & DEV TESTS-LBR",SUST,W,HBD,LX806HBD1,HBX,0811H,201111,0,0,0,4,0,0,0,0,0,0,562.851557002119,0006,,L
EMDLBRF,121-06HBD1,"ASIP DESIGN ANALY & DEV TESTS-LBR",SUST,W,HBD,LX806HBD1,HBX,0811H,201112,0,0,0,9,0,0,0,0,0,0,1266.41600325477,0006,,L
EMDLBRF,121-06HBD1,"ASIP DESIGN ANALY & DEV TESTS-LBR",SUST,W,HBD,LX806HBD1,HBX,0811H,201201,0,7.2,0,0,0,0,451.79,0,0,1273.00675694369,0,0006,,L
EMDLBRF,121-06HBD1,"ASIP DESIGN ANALY & DEV TESTS-LBR",SUST,W,HBD,LX806HBD1,HBX,0811H,201202,0,4.5,0,0,0,0,329.23,0,0,927.669967437463,0,0006,,L
EMDLBRF,121-06HBD1,"ASIP DESIGN ANALY & DEV TESTS-LBR",SUST,W,HBD,LX806HBD1,HBX,0811H,201203,0,12.9,50.00000461936,0,0,2528.00023355483,885.15,0,6943.07699479282,2494.08338145755,0,0006,,L
EMDLBRF,121-06HBD1,"ASIP DESIGN ANALY & DEV TESTS-LBR",SUST,W,HBD,LX806HBD1,HBX,0811H,201205,0,0,0,141.9,0,0,0,0,0,0,22618.4410874504,0006,,L
EMDLBRF,121-06HBD1,"ASIP DESIGN ANALY & DEV TESTS-LBR",SUST,W,HBD,LX806HBD1,HBX,0811H,201206,0,0,0,146.4,0,0,0,0,0,0,23335.7278026973,0006,,L
EMDLBRF,121-06HBD1,"ASIP DESIGN ANALY & DEV TESTS-LBR",SUST,W,HBD,LX806HBD1,HBX,0811H,201207,0,0,0,0,0,0,0,0,0,0,0,0006,,L
EMDLBRF,121-06HBD1,"ASIP DESIGN ANALY & DEV TESTS-LBR",SUST,W,HBD,LX806HBD1,HBX,0811H,201208,0,0,0,0,0,0,0,0,0,0,0,0006,,L
EMDLBRF,121-06HBD1,"ASIP DESIGN ANALY & DEV TESTS-LBR",SUST,W,HBD,LX806HBD1,HBX,0811H,201209,0,0,0,0,0,0,0,0,0,0,4.6E-013,0006,,L
EMDLBRF,121-06HBG1,"ASIP FORCE MGMT-LBR",SUST,W,HBG,LX806HBG1,HBX,0811H,201101,0,435.8,164.290308952332,593.87,0,8306.51802062988,29170.84,0,22813.6031834019,77086.715802656,86868.3628250932,0006,,L
EMDLBRF,121-06HBG1,"ASIP FORCE MGMT-LBR",SUST,W,HBG,LX806HBG1,HBX,0811H,201102,0,0,0,267.47,0,0,-657.62,0,0,-1737.8233210337,39124.1871197866,0006,,L
EMDLBRF,121-06HBG1,"ASIP FORCE MGMT-LBR",SUST,W,HBG,LX806HBG1,HBX,0811H,201103,0,0,0,267.47,0,0,0,0,0,0,39124.1871197866,0006,,L
EMDLBRF,121-06HBG1,"ASIP FORCE MGMT-LBR",SUST,W,HBG,LX806HBG1,HBX,0811H,201109,0,0,0,0,0,0,0,0,0,0,0,0006,,L
EMDLBRF,121-06HBG1,"ASIP FORCE MGMT-LBR",SUST,W,HBG,LX806HBG1,HBX,0811H,201111,0,0,0,267.47,0,0,0,0,0,0,37636.4764878392,0006,,L
EMDLBRF,121-06HBG1,"ASIP FORCE MGMT-LBR",SUST,W,HBG,LX806HBG1,HBX,0811H,201112,0,0,0,267.47,0,0,0,0,0,0,37636.4764878392,0006,,L
