PROJECT,IPT,RESP,WBS ID,DESCRIPTION,CEC,COMPANY,PERF,MILSTD,CLIN,CHARGE #,YYYYMM,BCWS HRS/UTS,BCWP HRS/UTS,ACT HRS/UTS,ETC HRS/UTS,E
EMDLBRF,HBD,HBX,121-06HBD1,ASIP DESIGN ANALY & DEV TESTS-LBR,SUST,,,,,LX806HBD1,201101,,,,10,L
EMDLBRF,HBD,HBX,121-06HBD1,ASIP DESIGN ANALY & DEV TESTS-LBR,SUST,,,,,LX806HBD1,201102,,,,10,L
EMDLBRF,HBD,HBX,121-06HBD1,ASIP DESIGN ANALY & DEV TESTS-LBR,SUST,,,,,LX806HBD1,201103,,,,10,L
EMDLBRF,HBD,HBX,121-06HBD1,ASIP DESIGN ANALY & DEV TESTS-LBR,SUST,,,,,LX806HBD1,201111,,,,4,L
EMDLBRF,HBD,HBX,121-06HBD1,ASIP DESIGN ANALY & DEV TESTS-LBR,SUST,,,,,LX806HBD1,201112,,,,9,L
EMDLBRF,HBD,HBX,121-06HBD1,ASIP DESIGN ANALY & DEV TESTS-LBR,SUST,,,,,LX806HBD1,201201,,,,300,L
EMDLBRF,HBD,HBX,121-06HBD1,ASIP DESIGN ANALY & DEV TESTS-LBR,SUST,,,,,LX806HBD1,201207,,,,100,L
EMDLBRF,HBD,HBX,121-06HBD1,ASIP DESIGN ANALY & DEV TESTS-LBR,SUST,,,,,LX806HBD1,201208,,,,100,L
EMDLBRF,HBD,HBX,121-06HBD1,ASIP DESIGN ANALY & DEV TESTS-LBR,SUST,,,,,LX806HBD1,201209,,,,92.8,L
EMDLBRF,HBG,HBX,121-06HBG1,ASIP FORCE MGMT-LBR,SUST,,,,,LX806HBG1,201101,,,,593.87,L
EMDLBRF,HBG,HBX,121-06HBG1,ASIP FORCE MGMT-LBR,SUST,,,,,LX806HBG1,201102,,,,267.47,L
EMDLBRF,HBG,HBX,121-06HBG1,ASIP FORCE MGMT-LBR,SUST,,,,,LX806HBG1,201103,,,,267.47,L
EMDLBRF,HBG,HBX,121-06HBG1,ASIP FORCE MGMT-LBR,SUST,,,,,LX806HBG1,201109,,,,0,L
EMDLBRF,HBG,HBX,121-06HBG1,ASIP FORCE MGMT-LBR,SUST,,,,,LX806HBG1,201111,,,,267.47,L
EMDLBRF,HBG,HBX,121-06HBG1,ASIP FORCE MGMT-LBR,SUST,,,,,LX806HBG1,201112,,,,267.47,L
EMDLBRF,HBG,HBX,121-06HBG1,ASIP FORCE MGMT-LBR,SUST,,,,,LX806HBG1,201201,,,,290.47,L
EMDLBRF,HBG,HBX,121-06HBG1,ASIP FORCE MGMT-LBR,SUST,,,,,LX806HBG1,201207,,,,100,L
EMDLBRF,HBG,HBX,121-06HBG1,ASIP FORCE MGMT-LBR,SUST,,,,,LX806HBG1,201208,,,,100,L
